nama,komentar,kendala
A***d,"paraaaaahhh pengirimannya lama banget, klo yang mau beli H-5 sebelum lebaran bisa ga jadi ikut lebaran","Kendala: Tidak lengkap/salah kirim, Pengiriman lama"
E***i,Pengirimannya lama sekali sekelas erigo dan tanpa pemberitahuan dari admin.,"Kendala: Pelayanan penjual kurang, Pengiriman lama"
M***M,size L tapi kcil seprti S,"Kendala: Pelayanan penjual kurang, Pengiriman lama"
Arifrudi,sangat puas,
Khoirul,kecil bgt kaya ga sesuai deskripsi ukuran nya,
Bagus,.,
Siis,Size L tapi kecil banget... Bahan tipis sekali... Iseng beli karna Flashsale aja,
Bryan,Kuranng pas ukuran badan terlalu panjang ke bawah,
H***i,benang nya merudul,
Chandra,maaf Jahitan nya gini amet,
Lalu,Ukuran Largenya berbeda dengan baju yg satunya (kekecilan),
Mama,,
