,nama,komentar,rating,kelas
0,K***s,"seperti biasa, mantapsss",5,Sangat-baik
1,N***o,keren,5,Sangat-baik
2,Windiyantoro,Barang ok seeuai peeanan,5,Sangat-baik
3,A***d,ok.,5,Sangat-baik
4,H***b,Modelnya keren,5,Sangat-baik
5,Rosyi,real picture...pas di badan.. recommended bgt 👍,5,Sangat-baik
6,V***i,Pertama kali cobain kaos erigo. Baju sesuai dengan yang ada di foto. Bahan bagus banget! sablonnya juga bagus. pokoknya mantap 👌🏼,5,Sangat-baik
7,S***a,Oke... Sudah order 2x disini,5,Sangat-baik
8,h***i,bagus kerenn,5,Sangat-baik
9,Russel,Bahannya lembut dan ga panas. Suka banget,5,Sangat-baik
10,Asep,Diterima dengan baik,5,Sangat-baik
11,R***i,cocok,5,Sangat-baik
12,Elba,"Bahan adem, paling suka beli kaos erigo,,enak dipakai soalnya,,Beli pas flash sale,,👍",5,Sangat-baik
13,Hafidz,"bajunya bagus,bahannya gk tipis,nyaman waktu dipakek,pokonya gk rugi kalo beli",5,Sangat-baik
14,yayat,bagus cocok buat kembaran,5,Sangat-baik
15,H***t,"keren,, sdh bbrp kali belanja.. mohon di tingkatkan diskon nya",5,Sangat-baik
16,A***i,"Baju oke, langsung masuk lemari..",5,Sangat-baik
17,Rezty,👍👍,5,Sangat-baik
18,A***n,bahan nya adem sablonan nya juga oke,5,Sangat-baik
19,Lady,"model nya keren, bahan bagus, kualitas terbaikk, Erigo keren",5,Sangat-baik
20,Hotnando,bahan dan jahitan baguss... semoga sablon awet..,5,Sangat-baik
21,Alvian,Bahan adem .. Tks ...,5,Sangat-baik
22,Doodee,"ukuran baju pas sekali, jahitan bagus. the best 👍👍 pengiriman agak lama tapi barangnya selamat sampai tujuam",5,Sangat-baik
23,D***q,"Modelnya bagus. Bahannya adem, pengiriman cepat",5,Sangat-baik
24,Putri,"Terima kasih, barang sudah sampai dan diterima dengan baik. Seller fast response, recommended seller, terima kasih",5,Sangat-baik
25,John,"seperti biasa erigo gk prnah ngecewain soal kualitas produk nya, dn bnr"" memuaskan 🔥👍 cuma saya sedikit kecewa dngn pengiriman kurir yg bgitu lama pdhal sudah sampa... ",5,Sangat-baik
26,Arif,"Bahan nya adem, mantap lah",5,Sangat-baik
27,H***t,baju nya benar2 bagusssssss,5,Sangat-baik
28,sioham,"pengiriman cepat, barang ok",5,Sangat-baik
29,Bimo,"modelnya bagus banget, btw stikernya lucu",5,Sangat-baik
30,L***g,"bagus, terima kasih",5,Sangat-baik
31,kai,Kerennnnnn,5,Sangat-baik
32,Reza,Kaos adem mantap sesuai ekspektasi,5,Sangat-baik
33,Daniel,barang sudah sampai... terima kasih,5,Sangat-baik
34,Achmad,mantap,5,Sangat-baik
35,Sutiana,bagussss,5,Sangat-baik
36,Tifa,passs mantabbbb asyekkkk,5,Sangat-baik
37,Agus,murah tapi kualitas mantap,5,Sangat-baik
38,Liyon,mantap,5,Sangat-baik
39,Yasiin,baju bagus sesuai pesanan,5,Sangat-baik
40,Imam,kirain bahan kaosnya tebel tp lumayan lah sesuai harga .Mksh,5,Sangat-baik
41,H***i,MANTULMANTULMANTULMANTULMANTULMANTULMANTUL,5,Sangat-baik
42,Ahmad,Bagus,5,Sangat-baik
43,w***n,Baguuss dan pas,5,Sangat-baik
44,Nur,bahan bagus sesuai dengan harga,5,Sangat-baik
45,Jefri,keren bet dah.. bahannya adem & nyaman dpakai,5,Sangat-baik
46,Fariz,Mantap bahan bagus sablonan bagus tapi pengiriman agak lama mohon di percepat lagi,5,Sangat-baik
47,unang,ntaps betul 👌,5,Sangat-baik
48,Julio,mantapp lahh,5,Sangat-baik
49,yanuarista,,5,Sangat-baik
50,R***a,pengiriman nya terlalu lama tapi sampai ke runah,4,Baik
51,erza,ukuran L tapi lengannya saya rasa terlalu pendek,4,Baik
52,B***i,"pokoknya puas.. pengiriman cepat,next inshaaAllah beli lagi",4,Baik
53,S***a,modelnya keren bahan adem cuma jangkis aja lengannya terlalu pendek untuk uk.M,4,Baik
54,Zainal,Ok,4,Baik
55,b***u,suka dan puas,4,Baik
56,A***d,kualitas bahan bagus cuma lebih dirapihin lagi bagian jahitan nya,4,Baik
57,Fachri,bahannya bagus,4,Baik
58,Fiorent,"sejujurnya agak kependekan dibagian lengannya, tapi overall ok sih barangnya 👍",4,Baik
59,Dwi,ok sesuai pesanan,4,Baik
60,Yoikineo,Oke,4,Baik
61,Budi,bagian lengan kurang panjang,4,Baik
62,z***a,kaos nya keren,4,Baik
63,Miftah,bahannya berkualitas,4,Baik
64,D***i,Salah sizenya minta M yg dikirim L.,4,Baik
65,Ihsan,"Ini kaos berbahan katun,nyaman dipakainya,harga lebih murah dibanding beli di toko fisik",4,Baik
66,cecep,barang bagus tapi lama sampainya,4,Baik
67,Rudy,"Barang datang sesuai dengan pesanan, kualitas bahan bagus cuma untuk ukuran sepertinya harus naik 1 size. Untuk tshirt warna hitam dengan warna navy, berbeda ukuran sekit... ",4,Baik
68,Ayu,Ukuran sesuai. Modelnya keren 😎.,4,Baik
69,Heri,Kualitas produk bagus Ukuran sesuai Modelnya keren 😎,4,Baik
70,Andi,"baju mah bagus, adminnya yg lemot",4,Baik
71,Elly,"Kualitas produk bagus. Nyaman dipakai.  Toleransi ukuran ternyata 3cm. Jadi utk XL di deskripsi tertulis Lebar bahu x Pjg kaos = 56x76, aktualnya 53x73. Pdhl tadinya ma... ",4,Baik
72,mohamadpurwanto,bagus,4,Baik
73,I,Nyaman dipakai. Modelnya keren 😎.,4,Baik
74,Fahmi,Nyaman dipakai. Modelnya keren 😎.,4,Baik
75,MARTIN,Ukuran sesuai.,4,Baik
76,Yani,Kualitas produk bagus. Modelnya keren. Ukuran sesuai. Bahan menyerap keringat. Bahannya adem.,4,Baik
77,Andrianus,xl nya kecil,4,Baik
