,nama,komentar,kendala,rating
0,A***d,"paraaaaahhh pengirimannya lama banget, klo yang mau beli H-5 sebelum lebaran bisa ga jadi ikut lebaran","Kendala: Tidak lengkap/salah kirim, Pengiriman lama",2
1,E***i,Pengirimannya lama sekali sekelas erigo dan tanpa pemberitahuan dari admin.,"Kendala: Pelayanan penjual kurang, Pengiriman lama",2
2,M***M,size L tapi kcil seprti S,"Kendala: Pelayanan penjual kurang, Pengiriman lama",2
3,Arifrudi,sangat puas,,2
4,Khoirul,kecil bgt kaya ga sesuai deskripsi ukuran nya,,2
5,Bagus,.,,2
6,Siis,Size L tapi kecil banget... Bahan tipis sekali... Iseng beli karna Flashsale aja,,2
7,Bryan,Kuranng pas ukuran badan terlalu panjang ke bawah,,2
8,H***i,benang nya merudul,,2
9,Chandra,maaf Jahitan nya gini amet,,2
10,Lalu,Ukuran Largenya berbeda dengan baju yg satunya (kekecilan),,2
11,Mama,,,2
