,nama,komentar,rating
0,R***a,pengiriman nya terlalu lama tapi sampai ke runah,4
1,erza,ukuran L tapi lengannya saya rasa terlalu pendek,4
2,B***i,"pokoknya puas.. pengiriman cepat,next inshaaAllah beli lagi",4
3,S***a,modelnya keren bahan adem cuma jangkis aja lengannya terlalu pendek untuk uk.M,4
4,Zainal,Ok,4
5,b***u,suka dan puas,4
6,A***d,kualitas bahan bagus cuma lebih dirapihin lagi bagian jahitan nya,4
7,Fachri,bahannya bagus,4
8,Fiorent,"sejujurnya agak kependekan dibagian lengannya, tapi overall ok sih barangnya 👍",4
9,Dwi,ok sesuai pesanan,4
10,Yoikineo,Oke,4
11,Budi,bagian lengan kurang panjang,4
12,z***a,kaos nya keren,4
13,Miftah,bahannya berkualitas,4
14,D***i,Salah sizenya minta M yg dikirim L.,4
15,Ihsan,"Ini kaos berbahan katun,nyaman dipakainya,harga lebih murah dibanding beli di toko fisik",4
16,cecep,barang bagus tapi lama sampainya,4
17,Rudy,"Barang datang sesuai dengan pesanan, kualitas bahan bagus cuma untuk ukuran sepertinya harus naik 1 size. Untuk tshirt warna hitam dengan warna navy, berbeda ukuran sekit... ",4
18,Ayu,Ukuran sesuai. Modelnya keren 😎.,4
19,Heri,Kualitas produk bagus Ukuran sesuai Modelnya keren 😎,4
20,Andi,"baju mah bagus, adminnya yg lemot",4
21,Elly,"Kualitas produk bagus. Nyaman dipakai.  Toleransi ukuran ternyata 3cm. Jadi utk XL di deskripsi tertulis Lebar bahu x Pjg kaos = 56x76, aktualnya 53x73. Pdhl tadinya ma... ",4
22,mohamadpurwanto,bagus,4
23,I,Nyaman dipakai. Modelnya keren 😎.,4
24,Fahmi,Nyaman dipakai. Modelnya keren 😎.,4
25,MARTIN,Ukuran sesuai.,4
26,Yani,Kualitas produk bagus. Modelnya keren. Ukuran sesuai. Bahan menyerap keringat. Bahannya adem.,4
27,Andrianus,xl nya kecil,4
28,Daniel,"saya beli 2 tp beda design dan warna ukuran M dan L, tp kok lebar badannya sama cuma panjang badannya aja beda dikit. Tp utk bahan ok lah.",4
29,N***k,"bagus, kainnya tipis",4
30,benzmoeslim,ini asli erigo bukan sih.. kurang puas. jaitan nya banyak yg riject,4
31,Alden,ntaps..,4
32,A***e,lumayan lh,4
33,slamet,barang mantul pengiriman cepat 😍😍,4
34,furkon,baju nya ada yg sobek satu😔🙏 mau di jahit ga bisa ini mh sobek di kain nya ini mh bukan sobek ga ke jahit,4
35,D***i,Sudah sesuai deskripsi.,4
36,joko,pengiriman bagus,4
37,Ruslanmuh,baju erigo bahan nya makin kesini makin kaku dan gak adem,4
38,Nena,"paketnya cepat banget datangnya, anak saya suka sekali 👍",4
39,Akbar,kecil bngt m nya min,4
40,khaeraboe,"barang nya sesuai,mantap pokoknya mah Joss",4
41,Dinia,sayang pas belum pengiriman nda bisa direturn,4
42,R***i,"Untuk kaos yg ini sy beli untuk anak saya dan ternyata ukurannya pas.Kwalitas bahan cukup baik,hanya saja terlalu tipis ya dibanding merk *M*TH yg harganya jg sepadan.",4
43,hartono,ukuran XL tapi terlalu kecil,4
44,D***s,pengiriman cepat. sisa nya b aja,4
45,E***a,sesuai order dsn brng ok..pking baik,4
46,Ismail,kirain size XXL nya oversize🙂,4
47,A***n,ukuran L Dalam,4
48,Arif,"Pelayanan ramah, kualitas sesuai harga",4
49,Kris,,4
