nama,komentar
Hengky,Bahannya kurang bagus tidak spt yg disampAikan oleh seller
Anwar,respon lambat
Anwar,yg saya cancel tp ttp di kirim
D***i,"lain kali liat keterangan di kolom yaa, gak harus di catatan ."
visca,warnanya ga sama dengan pembelian awal..padahal ini seragam..jadi beda sendiri
N***r,"Kualitas produk memang bagus, sudah beberapa kali pesan mantab dan ontime. Tapi kali ini pengiriman kelewat waktu. pesan hari jumat malam tanggal 29. Baru terkirim stat... "
Rizki,setiap warna brand nya berbeda
Mulyadi,kerah tangan nya pendek sekai
YOSSI,Kaos nya ada yang sobek jahitannya
Aji,Pelayanan sedikit mengecewakan. Barang bagus cuma yah saya gak puas sama pelayanan di sini.
R***y,Size nya malah M semua cuman order 2pcs padahal di keterangannya ada L nya
kiki,"Barang tidak sesuai. Yang datang malah kaos kerah polos warna putih size S, sedangkan yang saya pesan no.39 kaos kerah polos warna biru muda kerah list putih size M"
vina,"Ud sering belanja disini tapi masih aja kiriman di perhambat lama proses konfirmasinya diomelin cust next oder di toko lain aja yg bisa bilang hari ini ya hari ini kirim... "
D,"Pdhl udh sering beli, makin sini makin ga rapih jaitannya. Jahitan ketiak kanan kiri mengkerut"
Vivi,"HATI"" kecewa Warna asli kaos beda dg yg di foto"
Dwi,Ada harga ada rupa.....
Nurihsan,"memang harga murah, tapi kecewa juga dengan bahan yang digunakan tidak sesuai"
Hanan,"Dua2 nya minta ukuran L. Tp setelah di pakai satu nya pas di badan tp satu nya kebesaran... Kok bisa? 😕😕😕 Terus minta warna hitam sama merah maroon yg datang malah war... "
G***a,Warna tidak sesuai yg di pesan
Angga,"Jumlah dan size sesuai, tetapi pilihan warna tidak sesuai request"
D,"Beli 2 size M.. Beda ukuran, yg satu M dilabel, yg satu L wlw di label M"
Ivan,Ukurannya tidak sesuai standart. Terlalu kecil. Kurang penjelasan di deskripsi tiap ukurannya.
Ahmad,"Kaos yg dikirim tidak sesuai dengan gambar, ditambah yang warna hitam ukurannya lebih sempit padahal sama2 ukuran XL"
crystalcell,bhn ny kasarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
reeva,pesan senin.sampai sabtu..prosesny terlalu lama.padahal sudah di suruh pembatalan ..
yusuf,"Pengiriman lama, dimana mana pake JNE YES itu sehari padahal masih jbodetabek"
Kenny,Ukuran yg dikirim salah semua tidak sesuai pesanan
Y***k,"Saya membeli 2 kaos polo warna putih dan merah maroon. Ukuran yang saya pesan adalah ukuran M. Dua2nya memang berukuran M. Tapi ukuran M kaos berwarna merah lebih kecil d... "
Yoyada,Dikarenakan saya bru membaca ulasan dri informasi pusat solusi saya jdi tdk bisa mengirimkan produknya..overall good service hanya perlu teliti dalam permintaan customer
Rama,sesuai dengan hrg.........
Marini,Pengiriman tidak sesuai dengan waktu yg ditetapkan.
Chairul,respon yg sangat mengecewakan!
Rustandi,"Ukuran tidak sama, ada yang kekecilan. Padahal saya pesan ukuran yang sama."
Reigen,Bagus..........................
Yuli,"respin cepqt, barang cepat sampai"
Syamsul,"tidak rapi jahitannya, packingnya sangat buruk"
Sucahyo,"bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus ba... "
Maiia,"bagus, sesuai dengan gambat"
Dendi,packing rapi dan kreatif.. barang sesuai harga.. tpi lumayan buat sehari2.. thanks buat fast respon nya..
Rudi,"Pelayanan cepat dan sangat memuaskan,,sayang kaos bahan panas"
guna,not bad .........................
bolang,"terimakasih, barang sudah sampai"
Ursula,"Warna sesuai gambar, bagus, tp bahannya agak kasar, ya sesuai harga lah"
