,nama,komentar,rating,kelas
0,Nurcahyo,"alhamdulilah, paket sudah sampai.. ukuran pas banget,, sesuai pesanan.. terimakasih juragan🙏🙏",5,Sangat-baik
1,Shofwan,bagus kaos nya...mksh bos,5,Sangat-baik
2,esa,harga sesuai produk,5,Sangat-baik
3,S***o,"sesuai aplikasi,,,trmksh",5,Sangat-baik
4,Java,"produk sesuai deskripsi, hanya bahannya agak tipis aja",5,Sangat-baik
5,Hendra,pokoke bntang yg bicara,5,Sangat-baik
6,F***r,"sesuai deskripsi produk, bahan dan jahitan ok. pelayanan toko bagus. terima kasih",5,Sangat-baik
7,Ummu,"pas di badan,. nyaman saat dipake, bahan cukup tebal tapi gak bikin gerah. recomended bangett deh pokoknyaa.",5,Sangat-baik
8,stella,"pas untuk papa,bahan ok dgn harga segitu",5,Sangat-baik
9,Hendra,dah kesekian x nya pesen,5,Sangat-baik
10,G***n,"Barang bagus, termurah se-Tokopedia",5,Sangat-baik
11,G***n,"Barang bagus sesuai ekspektasi, pengiriman cepat",5,Sangat-baik
12,D***y,good,5,Sangat-baik
13,Irwan,bahan nyaman gak terlalu tipis,5,Sangat-baik
14,Hendra,keren markotop,5,Sangat-baik
15,ridwan,bagusss,5,Sangat-baik
16,Verlyno,"Bahan bagus, halus.. murah jg..👍🏻",5,Sangat-baik
17,Wahyu,Bahan nya bagus tebal dan sampenya cepet.,5,Sangat-baik
18,ridwan,mantap sesuai jos tennnan bos ku Trimakasih,5,Sangat-baik
19,Feby,Kerenn bagus bahan nya nyaman kualitas okee,5,Sangat-baik
20,Graha,keren abis,5,Sangat-baik
21,Chintya,ssuai mantap,5,Sangat-baik
22,D***y,produk mantul proses cepat. thanks seller,5,Sangat-baik
23,ANAN,"bahan cukup bagus, pengiriman sesuai estimasi,kurir baik",5,Sangat-baik
24,Ano,goods,5,Sangat-baik
25,m,"harga sesuai dgn brng, overall sesuai bintang",5,Sangat-baik
26,A***s,"Barang sudah sampai, thanks..............",5,Sangat-baik
27,Hermansyah,"respon cepat, barang sesuai pesanan",5,Sangat-baik
28,Donny,puas selalu order dimarj,5,Sangat-baik
29,t***o,"terima kasih semua pihak,,sangat memuaskan 👍👍👍👍👍",5,Sangat-baik
30,Rio,"sumpah keren sesuai deskripsinya pokoknya top, jahitannya rapi dan respon ok banget",5,Sangat-baik
31,R***l,"Paket kaos sdh diterima sesuai pesanan, utk harga segitu sdh lumayan banget walau agak tipis tapi cukup bagus utk dipakai santai, tks ya...",5,Sangat-baik
32,Bepi,"Harga 30rban tapi bahan gk panas, boleh juga nih pesen lagi.",5,Sangat-baik
33,Nico,mantab banget dah pas di badan bahanya ok lah,5,Sangat-baik
