,nama,komentar,rating
0,Hengky,Bahannya kurang bagus tidak spt yg disampAikan oleh seller,2
1,Anwar,respon lambat,2
2,Anwar,yg saya cancel tp ttp di kirim,2
3,D***i,"lain kali liat keterangan di kolom yaa, gak harus di catatan .",2
4,visca,warnanya ga sama dengan pembelian awal..padahal ini seragam..jadi beda sendiri,2
5,N***r,"Kualitas produk memang bagus, sudah beberapa kali pesan mantab dan ontime. Tapi kali ini pengiriman kelewat waktu. pesan hari jumat malam tanggal 29. Baru terkirim stat... ",2
6,Rizki,setiap warna brand nya berbeda,2
7,Mulyadi,kerah tangan nya pendek sekai,2
8,YOSSI,Kaos nya ada yang sobek jahitannya,2
9,Aji,Pelayanan sedikit mengecewakan. Barang bagus cuma yah saya gak puas sama pelayanan di sini.,2
10,R***y,Size nya malah M semua cuman order 2pcs padahal di keterangannya ada L nya,2
11,kiki,"Barang tidak sesuai. Yang datang malah kaos kerah polos warna putih size S, sedangkan yang saya pesan no.39 kaos kerah polos warna biru muda kerah list putih size M",2
12,vina,Ud sering belanja disini tapi masih aja kiriman di perhambat lama proses konfirmasinya diomelin cust next oder di toko lain aja yg bisa bilang hari ini ya hari ini kirim... ,2
13,D,"Pdhl udh sering beli, makin sini makin ga rapih jaitannya. Jahitan ketiak kanan kiri mengkerut",2
14,Vivi,"HATI"" kecewa Warna asli kaos beda dg yg di foto",2
15,Dwi,Ada harga ada rupa.....,2
16,Nurihsan,"memang harga murah, tapi kecewa juga dengan bahan yang digunakan tidak sesuai",2
17,Hanan,Dua2 nya minta ukuran L. Tp setelah di pakai satu nya pas di badan tp satu nya kebesaran... Kok bisa? 😕😕😕 Terus minta warna hitam sama merah maroon yg datang malah war... ,2
18,G***a,Warna tidak sesuai yg di pesan,2
19,Angga,"Jumlah dan size sesuai, tetapi pilihan warna tidak sesuai request",2
20,D,"Beli 2 size M.. Beda ukuran, yg satu M dilabel, yg satu L wlw di label M",2
21,Ivan,Ukurannya tidak sesuai standart. Terlalu kecil. Kurang penjelasan di deskripsi tiap ukurannya.,2
22,Ahmad,"Kaos yg dikirim tidak sesuai dengan gambar, ditambah yang warna hitam ukurannya lebih sempit padahal sama2 ukuran XL",2
23,crystalcell,bhn ny kasarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,2
24,reeva,pesan senin.sampai sabtu..prosesny terlalu lama.padahal sudah di suruh pembatalan ..,2
25,yusuf,"Pengiriman lama, dimana mana pake JNE YES itu sehari padahal masih jbodetabek",2
26,Kenny,Ukuran yg dikirim salah semua tidak sesuai pesanan,2
27,Y***k,Saya membeli 2 kaos polo warna putih dan merah maroon. Ukuran yang saya pesan adalah ukuran M. Dua2nya memang berukuran M. Tapi ukuran M kaos berwarna merah lebih kecil d... ,2
28,Yoyada,Dikarenakan saya bru membaca ulasan dri informasi pusat solusi saya jdi tdk bisa mengirimkan produknya..overall good service hanya perlu teliti dalam permintaan customer,2
29,Rama,sesuai dengan hrg.........,2
30,Marini,Pengiriman tidak sesuai dengan waktu yg ditetapkan.,2
31,Chairul,respon yg sangat mengecewakan!,2
32,Rustandi,"Ukuran tidak sama, ada yang kekecilan. Padahal saya pesan ukuran yang sama.",2
33,Reigen,Bagus..........................,2
34,Yuli,"respin cepqt, barang cepat sampai",2
35,Syamsul,"tidak rapi jahitannya, packingnya sangat buruk",2
36,Sucahyo,bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus ba... ,2
37,Maiia,"bagus, sesuai dengan gambat",2
38,Dendi,packing rapi dan kreatif.. barang sesuai harga.. tpi lumayan buat sehari2.. thanks buat fast respon nya..,2
39,Rudi,"Pelayanan cepat dan sangat memuaskan,,sayang kaos bahan panas",2
40,guna,not bad .........................,2
41,bolang,"terimakasih, barang sudah sampai",2
42,Ursula,"Warna sesuai gambar, bagus, tp bahannya agak kasar, ya sesuai harga lah",2
