nama,komentar
Andry,pesen Hitam yang datang mustard
R***i,"bahan tangan kanan melintir, jadi jelek sekali keliatannya, seperti baju murahan dan asal2an seharusnya jika seperti ini jgn dijual atau TIDAK LULUS QC. ngecewain aja"
Ben,dari mulai pembelian dan proses pengiriman lama
Arman,"udah sering beli disini, dan udah lama ngga pernah di video unboxing. dan sekarang kurang 3 pcs, tapi respon nya tidak membantu. liat itu riwayat saya beli disini udah p... "
C***E,kirim nya ukuran kecil
Nurfalah,gk sesuai yg datang. beli yg panjang xxxl. dikirim kaos pendek kecil. ntah apa maksdnya
B***i,salah order
iparga,tdk sesuai dgn yg pesanan
Andra,saya kecewa barang yg di terima kurang dan pihak toko tidak mau mengganti dengan alasan tidak ada vidio buka paket dari awal sampai akhir
Andy,"pelayanan sangat² buruk,gak menerima komplen bahan kurang."
suroto,bahan kadang lembut kadang agak kaku kalo untuk ambil bnyk jd ada yg lembut sama ada yg kurang lembut udh langganan lama padahal di sini 😭
P***i,barang tidak sesuai
A***l,salah kirim barang
Gandhi,"pesen lengan panjang dtg lengan pendek, padahal orderan cuma 5potong aja tp gk konsen seller siapin brg"
A***i,"Seller salah kirim beli tangan panjang dikirim tangan pendek, udah di komplen dan dikirim ulang kembali. Semoga lebih baik lagi"
D***a,"uda 4x saya repeat order, yg ke 5 x ini baru kali ini kecewa berat, biasa nya admin nya ramah n baik, kali ini gak asik banget, barang sampai makin tambah bikin kecewa."
David,barang cacat produksi
P***i,"keterangan size nya palsu, baju yg datang kekecilan, tidak sesuai deskripsi. Ket size M panjang 70 lebar 49, nyatanya panjang 63 lebar 45"
V***r,bahan tangan panjang ga sperti biasanya lebih tipis sering beli langganan di sini baru x ini dapet yg tipis
N***l,"jgn kasi warna random dong, xxl loh"
Irwandi,"kalo ga qda konfirmasi, jgn asal buru2 kirim. minta hitam dikasi putih, XXL pula gmn laku in nya ini"
Gandhi,kacau pesan nya navy di kirim hitam
Andy,"warna maroon tua nya beda sama yg XL, yg S keliatan bladus padahal pesenan buat couple. kl bkn buat couple mungkin ga mslh ga akan keliatan."
A***y,size tidak standar. m rasa s
David,order warna hitam di kirm warna biru dongker
m***y,Lambat bangetbpengirimannya kapok belanja disini
l***n,ukurannya yg bener dong
N***r,pesan apa dikasi apa
Purani,"Beli lengan panjang, dikirim pendek...mau urus ribet...terima aja..."
A***y,"Langganan ,tapi kali ini kecewa ,review jujur aja"
A***y,"tolong update kalau memang kaos lengan panjang harganya berbeda. sehingga pembeli tidak salah. cukup kecewa walaupun ada konfirmasi kepada pembeli, namun konfirmasi dilak... "
wisnu,"Terpaksa deh sy kasih ulasan buruk.. Sekarang udah Terlalu sering kalo kaos yg di terima bolong, atau jahitan gak beres. Saya minta tolong sama seler agar sebelum di kiri... "
Agus,"Terpaksa deh sy kasih ulasan buruk.. Sekarang udah Terlalu sering kalo kaos yg di terima bolong, atau jahitan gak beres. Saya minta tolong sama seler agar sebelum di kiri... "
Djody,
O***a,
O***a,
