,nama,komentar,rating,kelas
0,Rifki,mantap sekali,5,Sangat-baik
1,Rifki,mantaps.,5,Sangat-baik
2,u***i,"Udah langganan beli kaos di sini,baik utk seragaman atau buat pakai pribadi.bahan bagus mantap pengiriman kilat.the best pokoknya🙏",5,Sangat-baik
3,Z***n,"modelnya keren, pas dibadan, nyaman dipake",5,Sangat-baik
4,H***o,"Bahannya adem, pas. Harga terjangkau. Beli warna hitam tp ternyata abis, sudah dikonfirmasi akhirnya jadi navy. Nanti akan repeat order, semoga warna hitam ukuran XL nya... ",5,Sangat-baik
5,Dwi,bahan sesuai...adem dan enak dipake,5,Sangat-baik
6,Siladhamo,bagus bgt kaosnya bener2 katun adem bukan yg kresek2. Recomended bgt,5,Sangat-baik
7,UNI,"Bahannya adem, warna ngga luntur. Catatan klo dicuci ukuran jdi lebih kecil, jadi mending upscale ukuran aja pas beli. Worth it",5,Sangat-baik
8,N***i,bagus,5,Sangat-baik
9,I***n,good,5,Sangat-baik
10,Kamal,"mantap, sesuai harga",5,Sangat-baik
11,Sandika,barang sesuai gambar dan deskripsi.. terimakasih buat seller dan abang kurir AnterAja,5,Sangat-baik
12,otto,"Kualitas OK, sesuai deskripsi, pelayanan OK",5,Sangat-baik
13,Haris,Bahan nya bagus..sesuai dengan pesanan..makasih ya..,5,Sangat-baik
14,Durga,"top, selalu beli dari PT. Net harga dan kualitas worth 👍👍",5,Sangat-baik
15,H***y,Mantap keren,5,Sangat-baik
16,E***y,Produk Bagus,5,Sangat-baik
17,Tama,"Produk berkualitas, pengiriman extra cepat, packing aman.... kaosnya nyaman, lembut, jahitan rapi. Sukses selalu, kakak.",5,Sangat-baik
18,Indri,selalu sesuai.. bahan adeem makasiih,5,Sangat-baik
19,Rara,"sesuai pesanan, bahan nyaman, jahitan rapi, admin ramah waktu ditanya stok dan warna, sayang kok 1 warna yang saya pengen pas habis 😅 👍",5,Sangat-baik
20,E***a,okeh,5,Sangat-baik
21,Kartini,sipp,5,Sangat-baik
22,Kartini,Sesuai yang di harapkan,5,Sangat-baik
23,R***i,bagus...gak panas...adem dipake...tingkatkan teruz kualitasnya kak...mksh...👍,5,Sangat-baik
24,Shindu,mantap sesuai pesanan,5,Sangat-baik
25,adam,lapak langganan cukup bintang yg berbicara daaah 😉👍,5,Sangat-baik
26,R***a,"sip,sesuai pesanan👍🏻",5,Sangat-baik
27,A***l,balabaalaa bagus,5,Sangat-baik
28,n***s,mantap lah pokoknya no kaleng kaleng,5,Sangat-baik
29,Ilham,"bahan cocombed, nyaman, model sederhana, jahitan rantai, ukuran sesuai, sip dan bagus selama yang dipesan sesuai dengan keinginan konsumen",5,Sangat-baik
30,M***d,"Selalu Keren, as usual 👍",5,Sangat-baik
31,Lusi,mantaaaaaap,5,Sangat-baik
32,muhyi,Penjual dan kurir terbaik,5,Sangat-baik
33,PT,"Bagoooooos enak kaosnya nyaman adem,",5,Sangat-baik
34,Lidya,"barang diterima sesuai dengan pesanan, sukses selalu",5,Sangat-baik
35,nuki,nice,5,Sangat-baik
36,Dwi,"pembelian ke 2, bahan oke",5,Sangat-baik
37,Jahe,"Bahannya bagus, jahitan rapi dan saya tau pasti diperiksa dengan baik sama tim sellernya saya bakalan beli lagi disini!!!! Mantaaab",5,Sangat-baik
38,David,"quality slalu ok, pembelian kesekian kalinya",5,Sangat-baik
39,T***y,pembelian ketiga dan memuaskan good,5,Sangat-baik
40,h***u,"pengen nya yang steel blue , tapi untung ada opsi kedua nya",5,Sangat-baik
41,Fery,sesuai deskripsi,5,Sangat-baik
42,PT,Sesuai orderan,5,Sangat-baik
43,E***y,bagus👍,5,Sangat-baik
44,Miy,selalu menjadi pilihan,5,Sangat-baik
45,Dicky,"pembelian kedua dan memuaskan, sip",5,Sangat-baik
46,h***u,"Udah 2x beli di NET PERSADA, memang udah paling cocok lah. Harganya terjangkau, kualitas bahannya sangat baik, nyaman dipakai, jahitan rapi. Proses nya cepat. 5/5",5,Sangat-baik
47,Radhimas,"Mantaf, Next beli lagi",5,Sangat-baik
48,Billy,sesuai,5,Sangat-baik
49,Prasetyo,,5,Sangat-baik
50,Kresna,Pembelian yang kesekian kali 👍,4,Baik
51,Josephine,"Lingkar leher kecil, jd agak kecekik",4,Baik
52,Radhimas,"Ukurannya agak kekecilan. Bahannya nyaman, nggak bikin gerah. Jahitan rapi.",4,Baik
53,Mac,Pesanan tiba sesuai jadwal dan packing rapi. Terimakasih Seller dan Wahana.,4,Baik
54,arief,"Kualitas oke, tapi warna beda dgn contoh",4,Baik
55,A***n,okee mantapp,4,Baik
56,Kresna,Material sip,4,Baik
57,A***g,oke,4,Baik
58,P***s,Ok,4,Baik
59,Michael,"untuk kesekian kalinya beli disini, gak mengecewakan",4,Baik
60,M***d,"pengiriman lama biasany 3-4 hari ini 6 hari, ukuranny jg beda ada yg sedikit lebih kecil di warna army dan coklat tua ini pembelian yg ke2. tpi utk bahannya bagus",4,Baik
61,Fitriah,udah kedua kalinya beli dsini...tp sayang 1 pcz aq minta wrn merah solid..dikasih abu misty..klo bahan adeeem bgt.,4,Baik
62,Achmad,kaga pernah kecewa belanja di net....,4,Baik
63,Heri,"Paket barang selalu Ok. cuma sangat di sayangkan untuk kemasan paket udah di bongkar, sobek dan di lakban lagi seadanya sama entah ""pihak ekspedisi"". bentuk nya j... ",4,Baik
64,hardianto,"makasih bang,, semoga lancar terus",4,Baik
65,User,Quality Controlnya kurang.. bahan lumayan bagus tapi lubang lehernya miring.,4,Baik
66,Azwar,"BUAT TOKONYA MASUKAN DIKIT, JANGAN PAKE TUH KURIR ANTER AJA, NYUSAHIN!!! KURIR ANTER AJA NYUSAHIN ORANG!!! CAPEK NUNGGU SEHINGGA HARUS AMBIL SENDIRI PAKET NYA, PENGIRIMA... ",4,Baik
67,hardianto,terimakasih barang mantap dan nyaman,4,Baik
68,kiboy,"lengannya ngepres sebelah minn satu baju doang sihh, selebihnya bagus👍🏻",4,Baik
69,V***s,Kurir pengirimannya lama.,4,Baik
70,M***o,mantab jiwa bagus brng nya nyaman,4,Baik
71,i***i,barang sesuai dengan keinginan dan pengiriman cepat,4,Baik
72,Wahyudi,"Kualitas lumayan, udah mesen ukuran L. tp Ukuran L nya g sesuai prediksi, lebih kecil dr ukuran L baju sy lebih k M tepatnya, karena memang g ngukur berdasarkn Size Chart... ",4,Baik
73,Shofyan,"barang bagus, tapi Kurir males""an nganter",4,Baik
74,Hendrawan,bahannya beda sama yang dulu ya.. jahitanya bagus..masih ok,4,Baik
75,ashwidya,barang sdh smp dan diterima dlm kondisi baik... terimakasih,4,Baik
76,Sandi,dah nyampe tipis bener. well sesuai harga lah,4,Baik
77,BEBU,Produk bagus,4,Baik
78,Ahmad,Nyaman dipakai.,4,Baik
79,A***g,"Nggk fatal sih, tapi coba lebih teliti lagi kedepn nya :)",4,Baik
80,K***f,"bahannya bener 30s tapi sayang ada bagian yang bolong, semoga kedepannya QC nya lebih diperhatiin lagi.",4,Baik
81,M***k,Nyaman dipakai.,4,Baik
82,S***n,"bahan seperti biasa... ada yg beda bahan, wajarlah pesan 40 kaos.. tapi ukuran sedikit lebih kecil dari size di banderol nya.",4,Baik
83,F***r,"pertengahan tahun kemarin beli kaos disini bagus, tebel, kok sekarang jadi tipis banget gini, hampir nerawang, kayak bukan combed 30s, kalo emang bahan mahal gapapa naiki... ",4,Baik
84,Dyah,"Bahan katun adem, bagus banget, warna sesuai pesanan, beli 5 ga nyesel, harga murah!",4,Baik
85,Lukman,"Untuk bahannya agak tipis ya kak, untuk respon dan pelayanan sudah ok. terima kasih atas pelayanan dan barangnya.",4,Baik
86,A***h,Kualitas produk bagus. Warnanya mantap. Jahitannya rapi. Bahannya adem. Nyaman dipakai. Tidak menerawang. Bahan menyerap keringat.,4,Baik
87,S***e,Biasa aja sih,4,Baik
88,D***i,Worth,4,Baik
89,Ryan,skrng tipis bahannya kak,4,Baik
90,Setiyawan,"Bajunya bagus dan pegawainya ramah, cocok sama kantong mahasiswa. Barang nya original, sesuai pesanan, dan harga nya murah kawan, mantap buat tokonya 🙏🏻",4,Baik
91,S***o,"ukr pas, bahan oke. tp pesan warna hijau navy (7) , dikirim biru navy (6)",4,Baik
92,Ben,entah ke tiga atau ke empat kalinya beli disini .... semua mantap,4,Baik
93,Eliezer,Ukuran sesuai Kualitas produk sesuai harga,4,Baik
94,K***i,"Barang diterima sesuai pesanan dan dalam kondisi baik. Untuk warna grey, bahannya beda dari 2 lainnya.",4,Baik
95,Raihana,sebenernya bagus tapi salah kirim warna. gapapa sih,4,Baik
96,K***s,"puas tapi produk ada cacatnya sedikit, dari 3 baju 2 ada cacatnya",4,Baik
97,Ibnu,"harga sesuai kualitas. meskipun ada.minus di orderan saya, overall saya puas dengan produk ini. semoga makin sukses kedepan",4,Baik
98,Alamsyah,Nyaman dipakai.,4,Baik
99,R***a,Nyaman dipakai. Ukuran sesuai. Warnanya mantap. Bahannya lembut.,4,Baik
100,Lukman,tulisannya kaos polos panjang yg dikirim kaos polos pendek,3,Biasa
101,d***a,"bahan enak nyaman juga ga panas, tapi sayang sekali lengannya panjang sebelah jadi kelihatan jelek.",3,Biasa
102,wirahadhi,status stok harus sering di update ya min.. 😅,3,Biasa
103,T***q,Classic blue size tidak sesuai pesanan,3,Biasa
104,A***a,baju ada yg bolong,3,Biasa
105,Antika,produk oke bangetttt. sudah ke 5 kali beli. tapiiii terqkhir kali ngga ada warna. Malqh dikirim warna random debgan alasan twlpon ngga diqngkat. sedih. yasudahlah.,3,Biasa
106,Andry,"Kaosnya kurang satu, saya lupa video unboxing.",3,Biasa
107,Jaja,"Barang bagus, cuma ukuran L nya agak besar sama juga kayak ukuran XL",3,Biasa
108,Rachmatun,bajunya robek bagian ketek,3,Biasa
109,UTAMA,"bahannya lumayan sih, sy pesan pengen kyk di gambar..warna hitam..dikirimnya warna cream..",3,Biasa
110,antonio,Bahannya adem,3,Biasa
111,Hendrawan,warna ngga sesuai pesanan gan..to ngga pa2 dah biarkan,3,Biasa
112,Farrel,pesen 12 yg datang 11 capek deh...,3,Biasa
113,sulastri,Ukuran sesuai. Warnanya mantap. Bahannya adem. Bahan menyerap keringat.,3,Biasa
114,Bakrun,mudah luntur,3,Biasa
115,ledo,bagus sh kaosnya cuma bahannya tipis,3,Biasa
116,ELON,Not Bad.,3,Biasa
117,Athaya,sesuai hrg,3,Biasa
118,Nurkholis,emmmm,3,Biasa
119,yadi,tidak ada pilihan warna,3,Biasa
120,mukhlisin,di gambar bagus ternyata barangnya tipis dan lembek barang murahan.,3,Biasa
121,Antho,smoga bisa kurang harganya,3,Biasa
122,Agus,bahannya bagus....cuman pesanan saya bagian tangan besar sebelah.....tapi gpp masih bisa di tolelir.....,3,Biasa
123,S***o,ok sesuai harga,3,Biasa
124,Mukhlis,"BAHAN BAGUS, TAPI BARANG TIDAK DI CEK ADA BOLONG 2 KAOS DARI ORDERAN 11 KAOS . HARUSNYA DI CEK DULU SEBELUM PENGIRIMAN .",3,Biasa
125,A***l,top,3,Biasa
126,muji,size tidak sesuai XXXL ngak ada barangnya bagus.,3,Biasa
127,Dzaky,bahan tipis jadi adem dipakainya,3,Biasa
128,Sanstore,oke,3,Biasa
129,Djonny,"pesan tiga warna dikirim satu warna ,",3,Biasa
130,F***a,2 hari baru sampe siang lagi,3,Biasa
131,E***y,meskipun tulisannya sm2 XL tp ukurannya beda. yg Pink lebih kecil 3cm,3,Biasa
132,Billy,salah kirim warna,3,Biasa
133,I***i,B aja,3,Biasa
134,Freddy,terasa berbulu,3,Biasa
135,I***I,baru nyampe langsung cuci rendam dan ketshuan keluat warna alias luntur,3,Biasa
136,Arifunipon,kaosnya lumayan lah sesuai harga,3,Biasa
137,Jhoni,barang bagus sesuai dg harga....muga berkah dan awet,3,Biasa
138,Nurindyah,Warna orange nya trnyata gonjreng gak sperti di contoh... kirain orange yg soft,3,Biasa
139,Rosadi,"Paketnya sudah sampe td siang, cuma barusan pas mau pulang jatoh dari motor, ga tau deh di mana jatohnya 😅",3,Biasa
140,Y***a,"Barangnya sih pas diterima dalam keadaan oke. Hanya ada masalah, pas dicoba jahitannya langsung ada yg rusak. Pengiriman cepat, packing rapi. (Gambar adalah setelah dicob... ",3,Biasa
141,E***a,kelebihan uang kt'a Mao d refund taunyapTdk,2,Buruk
142,Sarwedi,recommended lah dengan harga segitu,2,Buruk
143,S***t,Dapet yg Rijekan,2,Buruk
144,Dedi,tipis nyesel beli,2,Buruk
145,Cahya,stok ny jrng di update,2,Buruk
146,Andri,Pesanan warna hitam size L yg datang putih size M,2,Buruk
147,n***n,lama kirimny,2,Buruk
148,A***n,"ada 2 kaos yg cacat, bolong dan kegunting. ini adalah orderke-2, saya trust 100% dan gk sempat saya cek recek lagi, pas nyablon baru ketahuan ada 2 yg 'cacat'.... ",2,Buruk
149,David,ukuran nya turun 1 step baju kekecilan,2,Buruk
150,R***D,"Stok seharusnya dicantumkan supaya tidak berbelit2, dikirim dulu baru dicancel kemudian refund..aneh",2,Buruk
151,Albertus,Paket tiba lengan panjangnya yang kiri miring,2,Buruk
152,Yan,,2,Buruk
153,eric,,2,Buruk
154,Andry,pesen Hitam yang datang mustard,1,Sangat-buruk
155,R***i,"bahan tangan kanan melintir, jadi jelek sekali keliatannya, seperti baju murahan dan asal2an seharusnya jika seperti ini jgn dijual atau TIDAK LULUS QC. ngecewain aja",1,Sangat-buruk
156,Ben,dari mulai pembelian dan proses pengiriman lama,1,Sangat-buruk
157,Arman,"udah sering beli disini, dan udah lama ngga pernah di video unboxing. dan sekarang kurang 3 pcs, tapi respon nya tidak membantu. liat itu riwayat saya beli disini udah p... ",1,Sangat-buruk
158,C***E,kirim nya ukuran kecil,1,Sangat-buruk
159,Nurfalah,gk sesuai yg datang. beli yg panjang xxxl. dikirim kaos pendek kecil. ntah apa maksdnya,1,Sangat-buruk
160,B***i,salah order,1,Sangat-buruk
161,iparga,tdk sesuai dgn yg pesanan,1,Sangat-buruk
162,Andra,saya kecewa barang yg di terima kurang dan pihak toko tidak mau mengganti dengan alasan tidak ada vidio buka paket dari awal sampai akhir,1,Sangat-buruk
163,Andy,"pelayanan sangat² buruk,gak menerima komplen bahan kurang.",1,Sangat-buruk
164,suroto,bahan kadang lembut kadang agak kaku kalo untuk ambil bnyk jd ada yg lembut sama ada yg kurang lembut udh langganan lama padahal di sini 😭,1,Sangat-buruk
165,P***i,barang tidak sesuai,1,Sangat-buruk
166,A***l,salah kirim barang,1,Sangat-buruk
167,Gandhi,"pesen lengan panjang dtg lengan pendek, padahal orderan cuma 5potong aja tp gk konsen seller siapin brg",1,Sangat-buruk
168,A***i,"Seller salah kirim beli tangan panjang dikirim tangan pendek, udah di komplen dan dikirim ulang kembali. Semoga lebih baik lagi",1,Sangat-buruk
169,D***a,"uda 4x saya repeat order, yg ke 5 x ini baru kali ini kecewa berat, biasa nya admin nya ramah n baik, kali ini gak asik banget, barang sampai makin tambah bikin kecewa.",1,Sangat-buruk
170,David,barang cacat produksi,1,Sangat-buruk
171,P***i,"keterangan size nya palsu, baju yg datang kekecilan, tidak sesuai deskripsi. Ket size M panjang 70 lebar 49, nyatanya panjang 63 lebar 45",1,Sangat-buruk
172,V***r,bahan tangan panjang ga sperti biasanya lebih tipis sering beli langganan di sini baru x ini dapet yg tipis,1,Sangat-buruk
173,N***l,"jgn kasi warna random dong, xxl loh",1,Sangat-buruk
174,Irwandi,"kalo ga qda konfirmasi, jgn asal buru2 kirim. minta hitam dikasi putih, XXL pula gmn laku in nya ini",1,Sangat-buruk
175,Gandhi,kacau pesan nya navy di kirim hitam,1,Sangat-buruk
176,Andy,"warna maroon tua nya beda sama yg XL, yg S keliatan bladus padahal pesenan buat couple. kl bkn buat couple mungkin ga mslh ga akan keliatan.",1,Sangat-buruk
177,A***y,size tidak standar. m rasa s,1,Sangat-buruk
178,David,order warna hitam di kirm warna biru dongker,1,Sangat-buruk
179,m***y,Lambat bangetbpengirimannya kapok belanja disini,1,Sangat-buruk
180,l***n,ukurannya yg bener dong,1,Sangat-buruk
181,N***r,pesan apa dikasi apa,1,Sangat-buruk
182,Purani,"Beli lengan panjang, dikirim pendek...mau urus ribet...terima aja...",1,Sangat-buruk
183,A***y,"Langganan ,tapi kali ini kecewa ,review jujur aja",1,Sangat-buruk
184,A***y,"tolong update kalau memang kaos lengan panjang harganya berbeda. sehingga pembeli tidak salah. cukup kecewa walaupun ada konfirmasi kepada pembeli, namun konfirmasi dilak... ",1,Sangat-buruk
185,wisnu,"Terpaksa deh sy kasih ulasan buruk.. Sekarang udah Terlalu sering kalo kaos yg di terima bolong, atau jahitan gak beres. Saya minta tolong sama seler agar sebelum di kiri... ",1,Sangat-buruk
