,nama,komentar,rating,rating
0,Lukman,tulisannya kaos polos panjang yg dikirim kaos polos pendek,3,3
1,d***a,"bahan enak nyaman juga ga panas, tapi sayang sekali lengannya panjang sebelah jadi kelihatan jelek.",3,3
2,wirahadhi,status stok harus sering di update ya min.. 😅,3,3
3,T***q,Classic blue size tidak sesuai pesanan,3,3
4,A***a,baju ada yg bolong,3,3
5,Antika,produk oke bangetttt. sudah ke 5 kali beli. tapiiii terqkhir kali ngga ada warna. Malqh dikirim warna random debgan alasan twlpon ngga diqngkat. sedih. yasudahlah.,3,3
6,Andry,"Kaosnya kurang satu, saya lupa video unboxing.",3,3
7,Jaja,"Barang bagus, cuma ukuran L nya agak besar sama juga kayak ukuran XL",3,3
8,Rachmatun,bajunya robek bagian ketek,3,3
9,UTAMA,"bahannya lumayan sih, sy pesan pengen kyk di gambar..warna hitam..dikirimnya warna cream..",3,3
10,antonio,Bahannya adem,3,3
11,Hendrawan,warna ngga sesuai pesanan gan..to ngga pa2 dah biarkan,3,3
12,Farrel,pesen 12 yg datang 11 capek deh...,3,3
13,sulastri,Ukuran sesuai. Warnanya mantap. Bahannya adem. Bahan menyerap keringat.,3,3
14,Bakrun,mudah luntur,3,3
15,ledo,bagus sh kaosnya cuma bahannya tipis,3,3
16,ELON,Not Bad.,3,3
17,Athaya,sesuai hrg,3,3
18,Nurkholis,emmmm,3,3
19,yadi,tidak ada pilihan warna,3,3
20,mukhlisin,di gambar bagus ternyata barangnya tipis dan lembek barang murahan.,3,3
21,Antho,smoga bisa kurang harganya,3,3
22,Agus,bahannya bagus....cuman pesanan saya bagian tangan besar sebelah.....tapi gpp masih bisa di tolelir.....,3,3
23,S***o,ok sesuai harga,3,3
24,Mukhlis,"BAHAN BAGUS, TAPI BARANG TIDAK DI CEK ADA BOLONG 2 KAOS DARI ORDERAN 11 KAOS . HARUSNYA DI CEK DULU SEBELUM PENGIRIMAN .",3,3
25,A***l,top,3,3
26,muji,size tidak sesuai XXXL ngak ada barangnya bagus.,3,3
27,Dzaky,bahan tipis jadi adem dipakainya,3,3
28,Sanstore,oke,3,3
29,Djonny,"pesan tiga warna dikirim satu warna ,",3,3
30,F***a,2 hari baru sampe siang lagi,3,3
31,E***y,meskipun tulisannya sm2 XL tp ukurannya beda. yg Pink lebih kecil 3cm,3,3
32,Billy,salah kirim warna,3,3
33,I***i,B aja,3,3
34,Freddy,terasa berbulu,3,3
35,I***I,baru nyampe langsung cuci rendam dan ketshuan keluat warna alias luntur,3,3
36,Arifunipon,kaosnya lumayan lah sesuai harga,3,3
37,Jhoni,barang bagus sesuai dg harga....muga berkah dan awet,3,3
38,Nurindyah,Warna orange nya trnyata gonjreng gak sperti di contoh... kirain orange yg soft,3,3
39,Rosadi,"Paketnya sudah sampe td siang, cuma barusan pas mau pulang jatoh dari motor, ga tau deh di mana jatohnya 😅",3,3
40,Y***a,"Barangnya sih pas diterima dalam keadaan oke. Hanya ada masalah, pas dicoba jahitannya langsung ada yg rusak. Pengiriman cepat, packing rapi. (Gambar adalah setelah dicob... ",3,3
