,nama,komentar,rating
0,Kresna,Pembelian yang kesekian kali 👍,4
1,Josephine,"Lingkar leher kecil, jd agak kecekik",4
2,Radhimas,"Ukurannya agak kekecilan. Bahannya nyaman, nggak bikin gerah. Jahitan rapi.",4
3,Mac,Pesanan tiba sesuai jadwal dan packing rapi. Terimakasih Seller dan Wahana.,4
4,arief,"Kualitas oke, tapi warna beda dgn contoh",4
5,A***n,okee mantapp,4
6,Kresna,Material sip,4
7,A***g,oke,4
8,P***s,Ok,4
9,Michael,"untuk kesekian kalinya beli disini, gak mengecewakan",4
10,M***d,"pengiriman lama biasany 3-4 hari ini 6 hari, ukuranny jg beda ada yg sedikit lebih kecil di warna army dan coklat tua ini pembelian yg ke2. tpi utk bahannya bagus",4
11,Fitriah,udah kedua kalinya beli dsini...tp sayang 1 pcz aq minta wrn merah solid..dikasih abu misty..klo bahan adeeem bgt.,4
12,Achmad,kaga pernah kecewa belanja di net....,4
13,Heri,"Paket barang selalu Ok. cuma sangat di sayangkan untuk kemasan paket udah di bongkar, sobek dan di lakban lagi seadanya sama entah ""pihak ekspedisi"". bentuk nya j... ",4
14,hardianto,"makasih bang,, semoga lancar terus",4
15,User,Quality Controlnya kurang.. bahan lumayan bagus tapi lubang lehernya miring.,4
16,Azwar,"BUAT TOKONYA MASUKAN DIKIT, JANGAN PAKE TUH KURIR ANTER AJA, NYUSAHIN!!! KURIR ANTER AJA NYUSAHIN ORANG!!! CAPEK NUNGGU SEHINGGA HARUS AMBIL SENDIRI PAKET NYA, PENGIRIMA... ",4
17,hardianto,terimakasih barang mantap dan nyaman,4
18,kiboy,"lengannya ngepres sebelah minn satu baju doang sihh, selebihnya bagus👍🏻",4
19,V***s,Kurir pengirimannya lama.,4
20,M***o,mantab jiwa bagus brng nya nyaman,4
21,i***i,barang sesuai dengan keinginan dan pengiriman cepat,4
22,Wahyudi,"Kualitas lumayan, udah mesen ukuran L. tp Ukuran L nya g sesuai prediksi, lebih kecil dr ukuran L baju sy lebih k M tepatnya, karena memang g ngukur berdasarkn Size Chart... ",4
23,Shofyan,"barang bagus, tapi Kurir males""an nganter",4
24,Hendrawan,bahannya beda sama yang dulu ya.. jahitanya bagus..masih ok,4
25,ashwidya,barang sdh smp dan diterima dlm kondisi baik... terimakasih,4
26,Sandi,dah nyampe tipis bener. well sesuai harga lah,4
27,BEBU,Produk bagus,4
28,Ahmad,Nyaman dipakai.,4
29,A***g,"Nggk fatal sih, tapi coba lebih teliti lagi kedepn nya :)",4
30,K***f,"bahannya bener 30s tapi sayang ada bagian yang bolong, semoga kedepannya QC nya lebih diperhatiin lagi.",4
31,M***k,Nyaman dipakai.,4
32,S***n,"bahan seperti biasa... ada yg beda bahan, wajarlah pesan 40 kaos.. tapi ukuran sedikit lebih kecil dari size di banderol nya.",4
33,F***r,"pertengahan tahun kemarin beli kaos disini bagus, tebel, kok sekarang jadi tipis banget gini, hampir nerawang, kayak bukan combed 30s, kalo emang bahan mahal gapapa naiki... ",4
34,Dyah,"Bahan katun adem, bagus banget, warna sesuai pesanan, beli 5 ga nyesel, harga murah!",4
35,Lukman,"Untuk bahannya agak tipis ya kak, untuk respon dan pelayanan sudah ok. terima kasih atas pelayanan dan barangnya.",4
36,A***h,Kualitas produk bagus. Warnanya mantap. Jahitannya rapi. Bahannya adem. Nyaman dipakai. Tidak menerawang. Bahan menyerap keringat.,4
37,S***e,Biasa aja sih,4
38,D***i,Worth,4
39,Ryan,skrng tipis bahannya kak,4
40,Setiyawan,"Bajunya bagus dan pegawainya ramah, cocok sama kantong mahasiswa. Barang nya original, sesuai pesanan, dan harga nya murah kawan, mantap buat tokonya 🙏🏻",4
41,S***o,"ukr pas, bahan oke. tp pesan warna hijau navy (7) , dikirim biru navy (6)",4
42,Ben,entah ke tiga atau ke empat kalinya beli disini .... semua mantap,4
43,Eliezer,Ukuran sesuai Kualitas produk sesuai harga,4
44,K***i,"Barang diterima sesuai pesanan dan dalam kondisi baik. Untuk warna grey, bahannya beda dari 2 lainnya.",4
45,Raihana,sebenernya bagus tapi salah kirim warna. gapapa sih,4
46,K***s,"puas tapi produk ada cacatnya sedikit, dari 3 baju 2 ada cacatnya",4
47,Ibnu,"harga sesuai kualitas. meskipun ada.minus di orderan saya, overall saya puas dengan produk ini. semoga makin sukses kedepan",4
48,Alamsyah,Nyaman dipakai.,4
49,R***a,Nyaman dipakai. Ukuran sesuai. Warnanya mantap. Bahannya lembut.,4
