nama,komentar
Muhammad,Ada jaitan yang sobek…..
I***a,"Kecewa. Kaos Hitam yang dikirim berbeda warna dan bahannya. Entah QC-nya yang jelek, atau kualitas kaos NSA sudah menurun."
Kevin,"pesen 3 ukuran sama S beda warna doank, yang warna forest green pas dipake sedikit kegedean lengannya dibanding warna lain, anehh, udah gtu kualitas packingnya beneran bu... "
O***i,no recommended bahan gak sesuai sm harganya masih bagus kaos buatan konveksi
d***k,harga sesuai kualitas
M***n,kecewa. bahan tipis kayak 30s. warna hitam tapi tidak benar² hitam
A***i,pelit amat sama plastik beli 4pcs cuma di kasih 1 plastik
Rayza,"Bajunya bagus, tapi ga di kasih plastik.. Cuma di kuwel2 doang.."
arumy,Kenapa ukuran M nya berbeda?
Fadhil,
