,nama,komentar,rating,kelas
0,D***i,"sizenya pas, bahan nyaman",5,Sangat-baik
1,ade,"pas dibadan,bahan y ga gerah. Mantap 👍👍👍",5,Sangat-baik
2,R***a,"Barang aman, tiba sesuai estimasi",5,Sangat-baik
3,Indra,Sesuai deskripsi.. keren lah..,5,Sangat-baik
4,s***d,bahannya enak halus dan cukup tebel,5,Sangat-baik
5,R***n,"Bagus, nyaman digunakan, & ukuran pas",5,Sangat-baik
6,Ardiansah,Bagus,5,Sangat-baik
7,Wan,💯,5,Sangat-baik
8,M***a,oke,5,Sangat-baik
9,Anggi,Bahan nyaman dan tidak gerah,5,Sangat-baik
10,Rachmad,bagus,5,Sangat-baik
11,Mochamad,ok,5,Sangat-baik
12,Syofian,"ya emang bagus bahannya. adem, lembut. disablon juga bagus.",5,Sangat-baik
13,F***e,mantap,5,Sangat-baik
14,darwis,mantul 😁👌,5,Sangat-baik
15,Nuzulul,bagus pokok e,5,Sangat-baik
16,H***s,good,5,Sangat-baik
17,A***n,lebih tipis dari ekspetasi tapi bagus,5,Sangat-baik
18,jayaa,"murah meriah mantap,kain tidak murahan",5,Sangat-baik
19,M***d,"Untuk warna hitam dan navy agak lebih besar sedikit meskipun sama-sama M. Overall good, baju bagus. adminnya fast respon dan baik. Terima kasih banyak 😊",5,Sangat-baik
20,raditya,"kualitas kaosnya sangat baik, bahannya adem, packing rapi",5,Sangat-baik
21,L***L,bahannya bagus dan nyaman dipakai,5,Sangat-baik
22,I***g,sesuai ekspektasi... mantap...,5,Sangat-baik
23,Bella,keren mantappp,5,Sangat-baik
24,Fajar,top,5,Sangat-baik
25,zaynmohammed,keren saya suka dari dulu,5,Sangat-baik
26,T***u,👍👍👍👍👍👍👍,5,Sangat-baik
27,Y***p,Nyaman dan selalu rapih. pengiriman cepat!,5,Sangat-baik
28,C***a,"Ukuran sangat sesuai, bahannya bagus.",5,Sangat-baik
29,Agung,ok,5,Sangat-baik
30,Hanif,"lebih baik pesan 1 size ukuran asli karena bahan pre-shrunk, jadi akan sedikit menyusut pasca pencucian pertama. selain itu produknya bagus, warna sesuai",5,Sangat-baik
31,lidia,Bahan baguss halus,5,Sangat-baik
32,Kevin,"Seller sangat responsif, pengiriman cepat dan barang sesuai deskripsi dan baik. Terima kasih Kak.",5,Sangat-baik
33,Budianto,ini mah adeeem,5,Sangat-baik
34,johan,"bahan bagus, tebal. asli new states apparel",5,Sangat-baik
35,A***i,"bahan enak adem dan tebal, size lokal",5,Sangat-baik
36,Nasor,"sesuai deskripsi, thank you gan.",5,Sangat-baik
37,Agung,ok,5,Sangat-baik
38,Muhammad,Tidak perlu diragukan kualitasnya sejauh ini,5,Sangat-baik
39,darwis,mantul 😁👌,5,Sangat-baik
40,B***y,"barang bagus, pengiriman cepat sampai",5,Sangat-baik
41,G***n,Terbaik 👍,5,Sangat-baik
42,Andre,sesuai pesanan n nyaman dipakai. 🔥,5,Sangat-baik
43,M***d,"bahannya bagus, pakaian polos yang kece",5,Sangat-baik
44,Zhaqy,good,5,Sangat-baik
45,Eric,Bagus..,5,Sangat-baik
46,Eric,Pengiriman cepat packing mantab,5,Sangat-baik
47,Eric,Pengiriman cepat packing mantab,5,Sangat-baik
48,darwis,mantul 😁👌,5,Sangat-baik
49,i***n,Terimakasih banyak ya....,5,Sangat-baik
50,Fikar,"badan gue yg udah panjang tulang belakangnya masih lebih panjang kaos ini, kek lengan dan oebar udah pas tapi panjangnya kepanjangan, ya bagus aja si kalo doyan kaosnya d... ",4,Baik
51,Lanang,"Sesuai dengan harganya, cukupan lah, jangan meminta bahan yang lembut banget atau terasa mahal, cukup aja",4,Baik
52,Nindo,"kain halus dan bagus, ukuran sesuai, pingiriman agak lama... tpi overall suka...",4,Baik
