,nama,komentar,rating
0,D***i,"sizenya pas, bahan nyaman",5
1,ade,"pas dibadan,bahan y ga gerah. Mantap 👍👍👍",5
2,R***a,"Barang aman, tiba sesuai estimasi",5
3,Indra,Sesuai deskripsi.. keren lah..,5
4,s***d,bahannya enak halus dan cukup tebel,5
5,R***n,"Bagus, nyaman digunakan, & ukuran pas",5
6,Ardiansah,Bagus,5
7,Wan,💯,5
8,M***a,oke,5
9,Anggi,Bahan nyaman dan tidak gerah,5
10,Rachmad,bagus,5
11,Mochamad,ok,5
12,Syofian,"ya emang bagus bahannya. adem, lembut. disablon juga bagus.",5
13,F***e,mantap,5
14,darwis,mantul 😁👌,5
15,Nuzulul,bagus pokok e,5
16,H***s,good,5
17,A***n,lebih tipis dari ekspetasi tapi bagus,5
18,jayaa,"murah meriah mantap,kain tidak murahan",5
19,M***d,"Untuk warna hitam dan navy agak lebih besar sedikit meskipun sama-sama M. Overall good, baju bagus. adminnya fast respon dan baik. Terima kasih banyak 😊",5
20,raditya,"kualitas kaosnya sangat baik, bahannya adem, packing rapi",5
21,L***L,bahannya bagus dan nyaman dipakai,5
22,I***g,sesuai ekspektasi... mantap...,5
23,Bella,keren mantappp,5
24,Fajar,top,5
25,zaynmohammed,keren saya suka dari dulu,5
26,T***u,👍👍👍👍👍👍👍,5
27,Y***p,Nyaman dan selalu rapih. pengiriman cepat!,5
28,C***a,"Ukuran sangat sesuai, bahannya bagus.",5
29,Agung,ok,5
30,Hanif,"lebih baik pesan 1 size ukuran asli karena bahan pre-shrunk, jadi akan sedikit menyusut pasca pencucian pertama. selain itu produknya bagus, warna sesuai",5
31,lidia,Bahan baguss halus,5
32,Kevin,"Seller sangat responsif, pengiriman cepat dan barang sesuai deskripsi dan baik. Terima kasih Kak.",5
33,Budianto,ini mah adeeem,5
34,johan,"bahan bagus, tebal. asli new states apparel",5
35,A***i,"bahan enak adem dan tebal, size lokal",5
36,Nasor,"sesuai deskripsi, thank you gan.",5
37,Agung,ok,5
38,Muhammad,Tidak perlu diragukan kualitasnya sejauh ini,5
39,darwis,mantul 😁👌,5
40,B***y,"barang bagus, pengiriman cepat sampai",5
41,G***n,Terbaik 👍,5
42,Andre,sesuai pesanan n nyaman dipakai. 🔥,5
43,M***d,"bahannya bagus, pakaian polos yang kece",5
44,Zhaqy,good,5
45,Eric,Bagus..,5
46,Eric,Pengiriman cepat packing mantab,5
47,Eric,Pengiriman cepat packing mantab,5
48,darwis,mantul 😁👌,5
49,i***n,Terimakasih banyak ya....,5
