nama,komentar
Davit,Kaosn
Subur,bahan tipissss
J***i,sesuai pesanan 👍
Yon,"barang udah sampe, say ang sobek, haduuh"
Budi,"pertama beli, pckingnya luar biasa... kedua beli pcking biasa aja"
A***l,"bahanya sangat tipis, belum standar menurut saya, maksih"
Eko,"Beli 2 warna, putih sama abu muda, kecewa sama yg putih bahannya jelek, beda dengan yg abu muda bahannya bagus"
Adrijanto,"Tipis banget, mungkin Karena harga murah sik"
F***i,"Dari segi kualitas oke bgt tp sayang salah warna, minta black misty dikasih black, alhasil kembar sama baju yg sebelumnya"
Noni,Dulu suka beli di Rava bahan enak adem.. skrg bahan beda ya.. agak panas di pakai..
F***i,Brang oke... Pengennya yg s tapi dikirim m ..jd kegedean deh
Aji,"bajunya bagus, namun kualitas pengiriman harus ditingkatkan, pesan pake jne yes hari jumat check out 9:46 namun dikirim seller hari sabtu.... alhasl jd br smpe jkt minggu... "
lucky,"Ukuran bajunya agak gak konsisten. Henley lengan panjang yang saya beli awal tahun ukuran M sudah pas dgn ukuran sy. Beli lagi bulan lalu size M tapi ukurannya berbeda. L... "
Razif,"Barang sudah saya terima, Terimakasih"
A***n,Lumayan lah dari pada Lumanyun
Jo,Bahannya tiap warna kok beda semuaa yaa padahal udah beli 2x disini tapi setiap warna beda2 bahaan.
Dwi,"Bahannya buat tiap warna beda ya, dah beli rava 3 kali beda semua"
Anjar,"Ukuran Pakaian disini jika order sesuai pas ditubuh , tapi kalau bahannya tipis. Saran jika pesan warna selain putih tidak begitu masalah karena tipis enaknya adem gak pa... "
Viridis,"Model bagus, suka, bahanya yg biasa, mirip2 combed 30 ya kalo ga salah"
edgar,"Barang sesuai, namun bahannya tipis sekali. Yah sesuai dengan harga ekonomis"
Saiful,"barang sesuai dengan gambar,bahan halus enak dipakai"
zest,Makasih gan.. Barang uda sampai
Vincent,"Beli ukuran L, agak pendek bahannya. Tp overall oke. Pengiriman lama, nunggu sampe uda mw batal baru di prosess. padahal pakai paket YES."
jhonny,"Sesuai spek,cepat dan paking ok"
Arman,"Barang sesuai pesanan, tq gan..."
Danang,Ternyata Bahan tipis dan berbeda tiap warnanya
Romli,Biarkan bintang berbicara
V***n,Mantap...sudah diterima. Layanan Cepat
diyah,"Ukuran sesuai, jahitan bagus, warna abu muda misty terlalu tua."
Zul,Kualitas barang sesuai harga.bagus and adem di pakai
R***y,Ukuran L beda dgn yg sy pesan bbrap bulan lalu. Kali ini lbh kecil :(
Sutha,Lumayan lah buat di pakai sehari hari
Yoviansyah,"suka dengan barangnya, sesuai ekspetasi"
Eli,terima kasih dan sudah diterima
hendra,Lumayan. Sesuai harganya
Rudi,"Barang sudah diterima dg baik, sesuai dg gambar. Bahan agak tipis akan lebih baik lagi jika sedikit lebih tebal. Secara umum bagus."
Devis,Ok ja............................................
Lucky,Lumayanlah.. semoga terus berkembang
Roni,Bahan biasa bgt. Tipis.
Lovenna,"Lumayan cm dr sisi jaitan terlihat brg murah,tdk seperti baju2 ternama di mall"
Siti,"Bhannya agak tipis, tpi saat dipke cocok utk suami sya. Thanks"
N***r,"Barang sudah sampai, belum saya coba semoga pas"
Imron,Sesuai harga dengan mutunya
nasrul,Sesuai dgn harga murahnya
aldies,Barangnya sesuai harga halus tapi tdak tebal lumayanlah
R***i,Pengiriman dan respon cepat tapi Warnanya nya gak sesuai sama di gambar :(
Rubby,Pengiriman lama hampir 10 hari saya kiri paling lama cuman 3 hari
Mugiono,"Barang lumayan , kemasan ok ,"
Wisnu,Pesennya warna putih 2 tapi di kasih maroon 2 😔
Amar,Pengiriman kurang teliti dan lama sekali respon
