,nama,komentar,rating,kelas
0,S***n,ukurannya pas dan nyaman dibadan,5,Sangat-baik
1,Tommy,Nyaman sekali dipakainya.,5,Sangat-baik
2,Herman,Abu abu muda. Salah satu warna favorit.Kualitas sama dengan 2018. Pertahankan kualitas dan layanan ya 👍👍👍👍👍,5,Sangat-baik
3,Farid,"Bahan adem, cuma mungkin karena putih dan slimfit jadi menerawang 😂",5,Sangat-baik
4,Fajar,"Cocok ukuran L yang punya bb 70kg, bahannya adem, packingnya juga bagus. terimakasih",5,Sangat-baik
5,Dede,bagus terimakasih yaa,5,Sangat-baik
6,Tomy,"pembelian ke3, seller rekomended",5,Sangat-baik
7,Muhammad,mantap kualitas bahannya.. enak dan nyaman dipakainya,5,Sangat-baik
8,Anggi,pas dibadan dan bahan nyaman,5,Sangat-baik
9,DJONG,"oke banget bahan bagus ukuran juga pas, respon dan pengirimannya cepat barang sesuai dengan discripsi",5,Sangat-baik
10,Rial,ok nice,5,Sangat-baik
11,y***a,ukuran & bahannya enak,5,Sangat-baik
12,Nopik,bahan adem,5,Sangat-baik
13,A***n,"Pembelian kedua, overall puas",5,Sangat-baik
14,Dimas,muantab mas bro gk kan nyesel ... dingin . kepake asli bahan N model nya.. udah eksekusi aja jangan ragu buat kaos nih....👍 sukses selalu Sealer.. sistem pengiriman bara... ,5,Sangat-baik
15,B***y,WELL DONE👍,5,Sangat-baik
16,I***A,josss,5,Sangat-baik
17,Tomy,model keren nich....berani maju dach,5,Sangat-baik
18,S***y,bagus adem,5,Sangat-baik
19,iant,"Pas banget ukuranya ... jahitan jg rapi,",5,Sangat-baik
20,satria,mantaaaabbb.. 👍,5,Sangat-baik
21,Yunita,puasssss sekali,5,Sangat-baik
22,Michael,"barang nya bagus-bagus , rapih jahitannya , sangat cepat pengirimannya dengan seperti itu saya merasa nyaman.. terimakasih Rava",5,Sangat-baik
23,A***o,Kualitas produk bagus Ukuran sesuai Jahitannya rapi Nyaman dipakai Warnanya mantap Tidak menerawang Bahan menyerap keringat Bahannya lembut Bahannya adem,5,Sangat-baik
24,nana,bagus nyaman rapih sesuai gambar,5,Sangat-baik
25,f***i,"kualitas bagus, sesuai dengan harapan saya",5,Sangat-baik
26,Hamzah,pembelian kedua disini. Baju+celana nya enak dipake n pas dibadan. Ntr klo ada model baru order lagi.,5,Sangat-baik
27,A***i,"barang bagus, walau bahan tipis ada harga ada kualitas itu aja sekian terimakasih",5,Sangat-baik
28,Wilman,keren,5,Sangat-baik
29,Taufiq,ok👍👍👍,5,Sangat-baik
30,D***i,"bagus bahannya utk harga segitu...terima kasih, pengiriman dan packing jg baik",5,Sangat-baik
31,komarudin,sudah sering belanja di sini dan sangat puas..kualitas bahan lembut dan nyaman di pakai..,5,Sangat-baik
32,andre,manteb,5,Sangat-baik
33,A***o,sesuai foto,5,Sangat-baik
34,D***g,mancapp,5,Sangat-baik
35,Yogi,Nyaman dipakai ga bikin keringetan,5,Sangat-baik
36,Eko,"mantap bahan sesuai ekspektasi,pengiriman cepat pake bebas ongkir juga,sukses terus bos",5,Sangat-baik
37,Antoni,Mantap,5,Sangat-baik
38,A***f,Keren bajunya…adem,5,Sangat-baik
39,irish,"Sudah yg ke tiga kalinya order, dan tdk pernah mengecewakan..😘😘",5,Sangat-baik
40,Al,"Pengiriman cepat, kaosnya bagus",5,Sangat-baik
41,Suandi,"kualitas baju cukup oke, nyaman dipakai, ukuran lumayan fit di badan",5,Sangat-baik
42,A***g,"barang sesuai deskripsi, packing rapi Dan pengiriman cepat Sampai...",5,Sangat-baik
43,Fityan,terima kasih,5,Sangat-baik
44,Steven,bagus banget suami aku suka bgt bakal ro ini sih warna lainnya,5,Sangat-baik
45,Kiki,bahan bagus! seller gercep dan barang cpt sampai 👍🏻👍🏻👍🏻,5,Sangat-baik
46,H***q,Mantap gan sesuai pesanan pengiriman cepat mantap pokok ee la😁👍,5,Sangat-baik
47,Shella,,5,Sangat-baik
48,Belinda,,5,Sangat-baik
49,AKIL,,5,Sangat-baik
50,r***n,ok... hanya saja ekspedisinya lama,4,Baik
51,Antoni,yg warna hitam agak longgar,4,Baik
52,D***g,"Bahan tidak terlau tebal, tapi jahitan lumayan rapih dan dipakai adem. Spertinya akan langganan disini saya 👍🏻",4,Baik
53,K***g,Kualitas produk bagus. Bahannya adem.,4,Baik
54,A***i,panjang nya kurang 2cm dari yg dijanjikan,4,Baik
55,F***r,boleh lah,4,Baik
56,Muhammad,noice..,4,Baik
57,Fini,ukuran salah. jadi Saya pesan lagi. mudah mudahan yang Saya pesan lagi tidak salah ukurannya.,4,Baik
58,E***h,"mantap gan, bahan'a enak dikenakan'a",4,Baik
59,Daniel,"Lumayan bagusss,kereeeennnnn",4,Baik
60,Reno,"sesuai pesanan modtlvdan ukuran pas, puas",4,Baik
61,A***d,"barang sesuai gambar , tp saya pesan 2 warna..hitam dan abu"" ,knp yg hitam bahan nya lebih tebel ya? dan abu"" lbh tipis bahan nya",4,Baik
62,Long,"Kaosnya bagus, bahanya gak murahan,jaitan rapi,sizenya sesuai ukuran standar dan gak bohong.poko e mantap",4,Baik
63,Luhut,Harga murah tapi ngak murahan🔥,4,Baik
64,oyan,"Bagus,jahitan rapi,dan bahan ga tebal. Cocok untuk tempat yg bkn pegunungan",4,Baik
65,Long,cocok untuk dipake sehari-hari...,4,Baik
66,A***i,barang pesanan lumayan good sesuai dgn harga..,4,Baik
67,A***n,"barang sesuai orderan, ukuran pas.",4,Baik
68,Nadhifa,bahanya lumayan bagus,4,Baik
69,KakRosRizky,sa suka,4,Baik
70,MAES,Top 👍,4,Baik
71,Aris,respon seller cepat dan baik. barang oke. datang sesuai pesanan dan deskripsi 👍👍👍,4,Baik
72,Dane,Pelayanan.dampekingan ny rapi..pengiriman barang juga cepat Orderan sesuai yg do order Ok terima kasih.. .,4,Baik
73,Joel,kualitas ok,4,Baik
74,Awaluddin,Good,4,Baik
75,irani,"Kualitas ok sesuai tapi sayang 1 ada yg menggunakan kantong padahal difoto tidak pakai,jadi tidak sesuai.",4,Baik
76,Maulana,"Sesuai dengan hargax, kualitas tdk pernah salah",4,Baik
77,Rakhmat,ok... memuaskan,4,Baik
78,Muhammad,"Barang cepat sampai. Kualitas sesuai harga, mantap",4,Baik
79,Muhammad,Ini pembelian kedua. Tapi kok tebelan dan bagusan yang pembelia pertama,4,Baik
80,Bang,Barang bagus pas dipakai,4,Baik
81,Ayik,Barang ok sesuai dgn harga,4,Baik
82,Ahmad,pengiriman cepat..ternyata kurang longgar dikit buat saya..tinggi 167 berat 65kg size L..bahan sesuai harga gk terlalu tebal..,4,Baik
83,Karyadi,ada baiknya produk yg dijual bahan yg berkualitas paling tidak kalau kaos bahan katun. ..,4,Baik
84,luthfi,Thanks barang sesuai pesanan,4,Baik
85,A,"Bahan lumayan bagus, cuma beda warna dengan size yg sama (XL) tapi actualnya beda ukuran lebih 2 cm. So far so good delivery sesuai 1 day service.",4,Baik
86,Subiyanto,Bahan nyaman di pake...adem,4,Baik
87,Queen,Mantap Thanks yaa barang udah sesuai permintaan,4,Baik
88,S***t,Pengiriman cepat dan rapih,4,Baik
89,Okta,"Bagian chat responsif, kaos dari bahan katun, adem, sesuai display, packaging sangat rapih, thanks seller",4,Baik
90,r***y,"Barang bagus dan adem , sukses slalu gan",4,Baik
91,M***d,"Pengiriman cepat,saler ramah..bahan lumayan tebal",4,Baik
92,Nofita,"Bagus cocok banget, pengiriman cepat",4,Baik
93,Ar,Fast respon dan barang sesuai pesanan,4,Baik
94,I***a,"Sesuai deskripsi, pengiriman cepat. Terima kasih.",4,Baik
95,Adin,"bahan kaos combed 30s, enak sih adem, pengiriman juga cepat.",4,Baik
96,Agus,"Bahannya lumayan si, tapi comfort buat dipake. Worth it lah buat gaya2an gak terlalu keliatan bahannya",4,Baik
97,Samuel,"Bajunya bagus, alhamdulillah pas, meskipun ga sesuai sama request size dan warnanya",4,Baik
98,Muhammad,"Boleh lah, cuman bagian lengannya terlalu panjang dan besar untuk ukuran M. Agak gak balance aja gitu bagian badan sama lengannya..",4,Baik
99,Andira,,4,Baik
100,Davit,Kaosn,3,Biasa
101,Subur,bahan tipissss,3,Biasa
102,J***i,sesuai pesanan 👍,3,Biasa
103,Yon,"barang udah sampe, say ang sobek, haduuh",3,Biasa
104,Budi,"pertama beli, pckingnya luar biasa... kedua beli pcking biasa aja",3,Biasa
105,A***l,"bahanya sangat tipis, belum standar menurut saya, maksih",3,Biasa
106,Eko,"Beli 2 warna, putih sama abu muda, kecewa sama yg putih bahannya jelek, beda dengan yg abu muda bahannya bagus",3,Biasa
107,Adrijanto,"Tipis banget, mungkin Karena harga murah sik",3,Biasa
108,F***i,"Dari segi kualitas oke bgt tp sayang salah warna, minta black misty dikasih black, alhasil kembar sama baju yg sebelumnya",3,Biasa
109,Noni,Dulu suka beli di Rava bahan enak adem.. skrg bahan beda ya.. agak panas di pakai..,3,Biasa
110,F***i,Brang oke... Pengennya yg s tapi dikirim m ..jd kegedean deh,3,Biasa
111,Aji,"bajunya bagus, namun kualitas pengiriman harus ditingkatkan, pesan pake jne yes hari jumat check out 9:46 namun dikirim seller hari sabtu.... alhasl jd br smpe jkt minggu... ",3,Biasa
112,lucky,Ukuran bajunya agak gak konsisten. Henley lengan panjang yang saya beli awal tahun ukuran M sudah pas dgn ukuran sy. Beli lagi bulan lalu size M tapi ukurannya berbeda. L... ,3,Biasa
113,Razif,"Barang sudah saya terima, Terimakasih",3,Biasa
114,A***n,Lumayan lah dari pada Lumanyun,3,Biasa
115,Jo,Bahannya tiap warna kok beda semuaa yaa padahal udah beli 2x disini tapi setiap warna beda2 bahaan.,3,Biasa
116,Dwi,"Bahannya buat tiap warna beda ya, dah beli rava 3 kali beda semua",3,Biasa
117,Anjar,"Ukuran Pakaian disini jika order sesuai pas ditubuh , tapi kalau bahannya tipis. Saran jika pesan warna selain putih tidak begitu masalah karena tipis enaknya adem gak pa... ",3,Biasa
118,Viridis,"Model bagus, suka, bahanya yg biasa, mirip2 combed 30 ya kalo ga salah",3,Biasa
119,edgar,"Barang sesuai, namun bahannya tipis sekali. Yah sesuai dengan harga ekonomis",3,Biasa
120,Saiful,"barang sesuai dengan gambar,bahan halus enak dipakai",3,Biasa
121,zest,Makasih gan.. Barang uda sampai,3,Biasa
122,Vincent,"Beli ukuran L, agak pendek bahannya. Tp overall oke. Pengiriman lama, nunggu sampe uda mw batal baru di prosess. padahal pakai paket YES.",3,Biasa
123,jhonny,"Sesuai spek,cepat dan paking ok",3,Biasa
124,Arman,"Barang sesuai pesanan, tq gan...",3,Biasa
125,Danang,Ternyata Bahan tipis dan berbeda tiap warnanya,3,Biasa
126,Romli,Biarkan bintang berbicara,3,Biasa
127,V***n,Mantap...sudah diterima. Layanan Cepat,3,Biasa
128,diyah,"Ukuran sesuai, jahitan bagus, warna abu muda misty terlalu tua.",3,Biasa
129,Zul,Kualitas barang sesuai harga.bagus and adem di pakai,3,Biasa
130,R***y,Ukuran L beda dgn yg sy pesan bbrap bulan lalu. Kali ini lbh kecil :(,3,Biasa
131,Sutha,Lumayan lah buat di pakai sehari hari,3,Biasa
132,Yoviansyah,"suka dengan barangnya, sesuai ekspetasi",3,Biasa
133,Eli,terima kasih dan sudah diterima,3,Biasa
134,hendra,Lumayan. Sesuai harganya,3,Biasa
135,Rudi,"Barang sudah diterima dg baik, sesuai dg gambar. Bahan agak tipis akan lebih baik lagi jika sedikit lebih tebal. Secara umum bagus.",3,Biasa
136,Devis,Ok ja............................................,3,Biasa
137,Lucky,Lumayanlah.. semoga terus berkembang,3,Biasa
138,Roni,Bahan biasa bgt. Tipis.,3,Biasa
139,Lovenna,"Lumayan cm dr sisi jaitan terlihat brg murah,tdk seperti baju2 ternama di mall",3,Biasa
140,Siti,"Bhannya agak tipis, tpi saat dipke cocok utk suami sya. Thanks",3,Biasa
141,N***r,"Barang sudah sampai, belum saya coba semoga pas",3,Biasa
142,Imron,Sesuai harga dengan mutunya,3,Biasa
143,nasrul,Sesuai dgn harga murahnya,3,Biasa
144,aldies,Barangnya sesuai harga halus tapi tdak tebal lumayanlah,3,Biasa
145,R***i,Pengiriman dan respon cepat tapi Warnanya nya gak sesuai sama di gambar :(,3,Biasa
146,Rubby,Pengiriman lama hampir 10 hari saya kiri paling lama cuman 3 hari,3,Biasa
147,Mugiono,"Barang lumayan , kemasan ok ,",3,Biasa
148,Wisnu,Pesennya warna putih 2 tapi di kasih maroon 2 😔,3,Biasa
149,Amar,Pengiriman kurang teliti dan lama sekali respon,3,Biasa
150,Centra,kualitas jelek,2,Buruk
151,E***g,Bahanya tipis,2,Buruk
152,topan,"warna gk sesuai,pdhal udh ngarep bnget brang ny sesuai gmbar ,trnyata malah jauh beda",2,Buruk
153,Ibnu,"Alhamdulillah.. Saya sudah 3x belanja di toko ini... Barang sesuai pesanan, dan pas di badan.. pekingan rapih, in syaa Alloh rekomended.. sukses selalu gan..",2,Buruk
154,Rochmad,"Bagi saya Harga SANGAT TERLALU MAHAL dibanding kwalitas, Gambar ulasan saya, lengan pendek beli di Mini Market dan saya punya banyak u/ kaos dalam. Seller Ramah, Terimaka... ",2,Buruk
155,Abiyyu,"Pengiriman lambat, kurang responsif",2,Buruk
156,Ester,Biasa aja...tipis bahannya,2,Buruk
157,Anwar,Bagus di foto drpd asli nya,2,Buruk
158,Rinaldi,Dikasih yang jaitan nya kurang rapih hmmm hmm,2,Buruk
159,Muhammad,"Beli yg warna putih, kualitasnya kurang sih. Ukuran M nya agak lebih kecil drpd yg lengan pendek",2,Buruk
160,Ahmad,bahan nya tipis pentil saya keliatan,2,Buruk
161,Irwandi,"Bintang u/pelayanan nya. Transaksi hari jumat 6 april, mengaku barang sudah dikirimkan ternyata baru dikirimkan hari senin 9 april sore, update no kiriman rabu 11 april.... ",2,Buruk
162,Toni,Biasa aja kualitas ya... Wajar sama harganya,2,Buruk
163,Nur,ketepatan waktu pengiriman kurang.,2,Buruk
164,H,"Tidak sesuai poto, heheheheheheheheheheheheheheheheheheheehehehehehe",2,Buruk
165,ade,lumayan la baju nya tapi... baju nya panas,2,Buruk
166,Heppy,bahan super tipis,1,Sangat-buruk
167,A***n,"Sangat Kecewa,estimasi tgl.15-17.,nyatax tanggal 19 baru tiba,jelek banget playananx",1,Sangat-buruk
168,Ramadhanu,"Baru kali ini, saya sangat kecewa dengan pelayanan rava.. Benar - benar kecewa.. Semoga hal ini bisa jadi pelajaran buat para pembeli dan juga pihak rava sendiri.. Barang... ",1,Sangat-buruk
169,R***t,"Apess ketipu, baju cotton import tapiBahan kaos partai.",1,Sangat-buruk
