,nama,komentar,rating
0,r***n,ok... hanya saja ekspedisinya lama,4
1,Antoni,yg warna hitam agak longgar,4
2,D***g,"Bahan tidak terlau tebal, tapi jahitan lumayan rapih dan dipakai adem. Spertinya akan langganan disini saya 👍🏻",4
3,K***g,Kualitas produk bagus. Bahannya adem.,4
4,A***i,panjang nya kurang 2cm dari yg dijanjikan,4
5,F***r,boleh lah,4
6,Muhammad,noice..,4
7,Fini,ukuran salah. jadi Saya pesan lagi. mudah mudahan yang Saya pesan lagi tidak salah ukurannya.,4
8,E***h,"mantap gan, bahan'a enak dikenakan'a",4
9,Daniel,"Lumayan bagusss,kereeeennnnn",4
10,Reno,"sesuai pesanan modtlvdan ukuran pas, puas",4
11,A***d,"barang sesuai gambar , tp saya pesan 2 warna..hitam dan abu"" ,knp yg hitam bahan nya lebih tebel ya? dan abu"" lbh tipis bahan nya",4
12,Long,"Kaosnya bagus, bahanya gak murahan,jaitan rapi,sizenya sesuai ukuran standar dan gak bohong.poko e mantap",4
13,Luhut,Harga murah tapi ngak murahan🔥,4
14,oyan,"Bagus,jahitan rapi,dan bahan ga tebal. Cocok untuk tempat yg bkn pegunungan",4
15,Long,cocok untuk dipake sehari-hari...,4
16,A***i,barang pesanan lumayan good sesuai dgn harga..,4
17,A***n,"barang sesuai orderan, ukuran pas.",4
18,Nadhifa,bahanya lumayan bagus,4
19,KakRosRizky,sa suka,4
20,MAES,Top 👍,4
21,Aris,respon seller cepat dan baik. barang oke. datang sesuai pesanan dan deskripsi 👍👍👍,4
22,Dane,Pelayanan.dampekingan ny rapi..pengiriman barang juga cepat Orderan sesuai yg do order Ok terima kasih.. .,4
23,Joel,kualitas ok,4
24,Awaluddin,Good,4
25,irani,"Kualitas ok sesuai tapi sayang 1 ada yg menggunakan kantong padahal difoto tidak pakai,jadi tidak sesuai.",4
26,Maulana,"Sesuai dengan hargax, kualitas tdk pernah salah",4
27,Rakhmat,ok... memuaskan,4
28,Muhammad,"Barang cepat sampai. Kualitas sesuai harga, mantap",4
29,Muhammad,Ini pembelian kedua. Tapi kok tebelan dan bagusan yang pembelia pertama,4
30,Bang,Barang bagus pas dipakai,4
31,Ayik,Barang ok sesuai dgn harga,4
32,Ahmad,pengiriman cepat..ternyata kurang longgar dikit buat saya..tinggi 167 berat 65kg size L..bahan sesuai harga gk terlalu tebal..,4
33,Karyadi,ada baiknya produk yg dijual bahan yg berkualitas paling tidak kalau kaos bahan katun. ..,4
34,luthfi,Thanks barang sesuai pesanan,4
35,A,"Bahan lumayan bagus, cuma beda warna dengan size yg sama (XL) tapi actualnya beda ukuran lebih 2 cm. So far so good delivery sesuai 1 day service.",4
36,Subiyanto,Bahan nyaman di pake...adem,4
37,Queen,Mantap Thanks yaa barang udah sesuai permintaan,4
38,S***t,Pengiriman cepat dan rapih,4
39,Okta,"Bagian chat responsif, kaos dari bahan katun, adem, sesuai display, packaging sangat rapih, thanks seller",4
40,r***y,"Barang bagus dan adem , sukses slalu gan",4
41,M***d,"Pengiriman cepat,saler ramah..bahan lumayan tebal",4
42,Nofita,"Bagus cocok banget, pengiriman cepat",4
43,Ar,Fast respon dan barang sesuai pesanan,4
44,I***a,"Sesuai deskripsi, pengiriman cepat. Terima kasih.",4
45,Adin,"bahan kaos combed 30s, enak sih adem, pengiriman juga cepat.",4
46,Agus,"Bahannya lumayan si, tapi comfort buat dipake. Worth it lah buat gaya2an gak terlalu keliatan bahannya",4
47,Samuel,"Bajunya bagus, alhamdulillah pas, meskipun ga sesuai sama request size dan warnanya",4
48,Muhammad,"Boleh lah, cuman bagian lengannya terlalu panjang dan besar untuk ukuran M. Agak gak balance aja gitu bagian badan sama lengannya..",4
49,Andira,,4
