nama,komentar
Jeffreyaldy,Nyaman model bagus jahitan rapi ukuran pas
i***n,"Total udah punya 10, beli 3 bulan sekali 🤣 bahan enak soalnya"
D***n,"ukuran pas, bahan jatuh, masih belum dipakai, tapi cocok"
Y***r,mantapppp
A***s,👍
deas,bagian kerah nyetrikanya kurang rapi
M***d,Mantap
Jerremy,Oke
Bayu,barang sesuai dengan gambar yang dideskripsikan😘
Muhammad,"Bahannya bagus, nyaman di pake ga bikin gerah. tp pengirimannya lama maklum mau lebaran orderan membludak. Thanks Erigo"
M***n,Alhamdulillah barang sesuai deskripsi
Asan,ok
Nur,overall bagus. lebih baik pilih satu soze keatas. rada susah disetrika.
B***s,"bagus bahannya, adem, kerenn"
m***d,bahannya enak dan gak gerah
Fathur,Thebestt lah pokoknyaa
Achmad,mantapp barang bagus ukuran sesuai
Aldiansyah,Casual bgt guah
Doni,overall bagus
Ardi,Mantap udah order ke dua tapi kaya beda ukuran wkwkwk yang penting cukup lah
Muhammad,#Lebaran Pake Erigo
A***a,Mantab brg nya
Satria,"Proses order agak lama, produk sesuai deskripsi, kualitas cukup bagus"
P***U,Baguusss👍
A***i,okeee
a***y,"Cool, bahan lembut dan halus, enak dipakai tidur"
lia,"bahannya adem, pas ukurannya. cuman lama sampe nya"
R***i,"produknya bagus,tapi pengirinannya lama. seller slow respon"
D***l,selalu cocok
Ratnawati,Keren kemejanya min. Uk pas bahan enak gak kaku
Viki,"Model oke, size pas, dan bahan ny masuk kategori comfy."
catur,keren dan ga pernah gagal beli ERIGO
W***m,"bahanny enak, bgus, thanks"
Galang,"Adem, simple, nyaman"
Suhartati,bahan bagus
Nadia,maaf ga sempet foto produknya. udah pembelian yg ke sekian kali untuk kemeja ini. dabest lah !!
D***u,oke
Muhamad,bahan adem enak
I***r,"barang sesuai deskripsi, bahan adem"
Ronaldy,biarkan bintang yg berbicara
Mulia,"Bahan super duper adem, bahannya enak sekali"
S***n,"ukuran pas, oke..,….."
W***h,produk okeeee
Feldy,bahan nyaman ukuran pas
lia,"Bahannya bagus, enak dipake"
Oleh,bagus nyaman di pake
D***n,Good
Amru,bagus. saya suka bahannya.
Lukman,
gurimal,
