,nama,komentar,rating,kelas
0,Jeffreyaldy,Nyaman model bagus jahitan rapi ukuran pas,5,Sangat-baik
1,i***n,"Total udah punya 10, beli 3 bulan sekali 🤣 bahan enak soalnya",5,Sangat-baik
2,D***n,"ukuran pas, bahan jatuh, masih belum dipakai, tapi cocok",5,Sangat-baik
3,Y***r,mantapppp,5,Sangat-baik
4,A***s,👍,5,Sangat-baik
5,deas,bagian kerah nyetrikanya kurang rapi,5,Sangat-baik
6,M***d,Mantap,5,Sangat-baik
7,Jerremy,Oke,5,Sangat-baik
8,Bayu,barang sesuai dengan gambar yang dideskripsikan😘,5,Sangat-baik
9,Muhammad,"Bahannya bagus, nyaman di pake ga bikin gerah. tp pengirimannya lama maklum mau lebaran orderan membludak. Thanks Erigo",5,Sangat-baik
10,M***n,Alhamdulillah barang sesuai deskripsi,5,Sangat-baik
11,Asan,ok,5,Sangat-baik
12,Nur,overall bagus. lebih baik pilih satu soze keatas. rada susah disetrika.,5,Sangat-baik
13,B***s,"bagus bahannya, adem, kerenn",5,Sangat-baik
14,m***d,bahannya enak dan gak gerah,5,Sangat-baik
15,Fathur,Thebestt lah pokoknyaa,5,Sangat-baik
16,Achmad,mantapp barang bagus ukuran sesuai,5,Sangat-baik
17,Aldiansyah,Casual bgt guah,5,Sangat-baik
18,Doni,overall bagus,5,Sangat-baik
19,Ardi,Mantap udah order ke dua tapi kaya beda ukuran wkwkwk yang penting cukup lah,5,Sangat-baik
20,Muhammad,#Lebaran Pake Erigo,5,Sangat-baik
21,A***a,Mantab brg nya,5,Sangat-baik
22,Satria,"Proses order agak lama, produk sesuai deskripsi, kualitas cukup bagus",5,Sangat-baik
23,P***U,Baguusss👍,5,Sangat-baik
24,A***i,okeee,5,Sangat-baik
25,a***y,"Cool, bahan lembut dan halus, enak dipakai tidur",5,Sangat-baik
26,lia,"bahannya adem, pas ukurannya. cuman lama sampe nya",5,Sangat-baik
27,R***i,"produknya bagus,tapi pengirinannya lama. seller slow respon",5,Sangat-baik
28,D***l,selalu cocok,5,Sangat-baik
29,Ratnawati,Keren kemejanya min. Uk pas bahan enak gak kaku,5,Sangat-baik
30,Viki,"Model oke, size pas, dan bahan ny masuk kategori comfy.",5,Sangat-baik
31,catur,keren dan ga pernah gagal beli ERIGO,5,Sangat-baik
32,W***m,"bahanny enak, bgus, thanks",5,Sangat-baik
33,Galang,"Adem, simple, nyaman",5,Sangat-baik
34,Suhartati,bahan bagus,5,Sangat-baik
35,Nadia,maaf ga sempet foto produknya. udah pembelian yg ke sekian kali untuk kemeja ini. dabest lah !!,5,Sangat-baik
36,D***u,oke,5,Sangat-baik
37,Muhamad,bahan adem enak,5,Sangat-baik
38,I***r,"barang sesuai deskripsi, bahan adem",5,Sangat-baik
39,Ronaldy,biarkan bintang yg berbicara,5,Sangat-baik
40,Mulia,"Bahan super duper adem, bahannya enak sekali",5,Sangat-baik
41,S***n,"ukuran pas, oke..,…..",5,Sangat-baik
42,W***h,produk okeeee,5,Sangat-baik
43,Feldy,bahan nyaman ukuran pas,5,Sangat-baik
44,lia,"Bahannya bagus, enak dipake",5,Sangat-baik
45,Oleh,bagus nyaman di pake,5,Sangat-baik
46,D***n,Good,5,Sangat-baik
47,Amru,bagus. saya suka bahannya.,5,Sangat-baik
48,Lukman,,5,Sangat-baik
49,gurimal,,5,Sangat-baik
50,Zainal,bagus,4,Baik
51,Muhammadbintangn,Slow bgt resp nya,4,Baik
52,YN,kainya lemes jatuh. sesuai dengan harga,4,Baik
53,Renaldo,Pengiriman lama,4,Baik
54,Bram,ukuran pas sih longgar. tapi pendek banget jadi keliatan jangkis,4,Baik
55,darajat,"kualitasnya bagus, pengiriman lambat",4,Baik
56,Fandi,"bahan bagus, tp hampir gak jd pake u acara, seller respondnya ketika ada masalah pengiriman kurang friendly",4,Baik
57,Muhamad,"Pengiriman lama, barang kualitas bagus, stylish",4,Baik
58,Andi,Keren,4,Baik
59,muhamad,"bahannya bagus, tapi jahitannya kurang rapih pada bagian lengan sebelah kanan tidak simetris dengan yg kiri panjang sebelah. pengiriman lemooott",4,Baik
60,R***a,"untuk barang oke"" saja dan aman kualitas oke untuk pengirimanya lumayan lama",4,Baik
61,cheka,pengiriman lama,4,Baik
62,Mahatma,"bahannya keren, enak banget dipake nyaman sama badan. Pakai ukuran L pun sangat pas. namun dari sisi pengiriman masih banyak haeus dibenahi, hampir 3 hari barang ketahan... ",4,Baik
63,kukuh,bahan adem,4,Baik
64,Ferdinando,"Kecewa sama kurirnya, barang saya tidak sampai""",4,Baik
65,ikasurya,ngirimnya lamaaaaaaa,4,Baik
66,F***i,bahannya adem tapi gampang kusut,4,Baik
67,Rick,Kwalitasnya lebih bagus. Yg pengirimanya yg telat. Prosesnya pelan pelan,4,Baik
68,A***l,mantaf sesuai bahan dingin lumayan tebal,4,Baik
69,Y***o,Bagus,4,Baik
70,A***s,"barangnya keren, tp nyampenya lebih lama dari waktu estimasi",4,Baik
71,Del,Cukup puas. Quality control harus lebih diperhatikan. Masih banyak benang sisa jahitan berlebihan di setiap sisi. Bikin jahitan kurang rapih. Tapi bahan sudah bagus.,4,Baik
72,Dicky,"tarlalu besar keknya, salah size",4,Baik
73,Nilna,pengemasan lama poll beli tgl 9 dikirim tgl 15,4,Baik
74,Muh,panjang ny beda sedikit sama yg warna laen,4,Baik
75,Renald,"Bahannya sih enak cuma ya Jahitannya gk rapih ,keliatan soalnya ….",4,Baik
76,F***h,"Kualitas oke, barang sesuai pesanan, cuma packing kurang, packing sobek seperti dibuka oleh pihak jasa kirim Sicepat. Mohon diperbaiki agar kejadian tidak terulang kembal... ",4,Baik
77,A***i,"Barangnya bagus dan baik, hanya saja waktu pengiriman yang ditunda membuat lama",4,Baik
78,daydreamer,pengiriman nya lama,4,Baik
79,Ahmad,"barang bagus, pengiriman lama sekali, keterangan gagal pick up barang belum siap terus.",4,Baik
80,shandyutama,"Pengirimanya gagal terus, tapi akhirnya sampai.",4,Baik
81,w***n,bahanya ternyata so so lah,4,Baik
82,S***n,Jahitannya rapi Nyaman dipakai,4,Baik
