,nama,komentar,rating
0,s***i,"parah pesan tgl:14-4-2023 abis lebaran baru dikirim, diperbaiki lagi",1
1,Ega,"Barang kurang 1, untung bisa balik duit nya, buat pelajaran aja jd bintang 1",1
2,Ferry,beli 3 yang datang cuman 1 dan tidak sesuai pesanan,1
3,MOHAMAD,Pengiriman lama sekali dan seller nya tidak ramah,1
4,Muhammad,"respon penjual sangat lama, pengiriman juga lama. saya tidak mengerti kenapa baru sedemikian lama baru dikirim. ditambah sistem dari toped yg memberikan tambahan waktu la... ",1
5,Wahyu,"proses lama, giliran minta di cancel ganti warna ga bisa",1
6,kockakocka,brg jelek,1
7,Indi,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya",1
8,M***h,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... ",1
9,G***g,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar",1
10,Hasby,robek jahitan atasnya,1
11,M***a,ejek,1
12,Julay,saya tidak menerima paket pesanan saya,1
13,Kenslindo,"berbulu, gabisa di refund..",1
14,Deni,"proses lama, giliran minta di cancel ganti warna ga bisa",1
15,o***a,brg jelek,1
16,Sandi,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya",1
17,F***i,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... ",1
18,M***d,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar",1
19,Muhammad,robek jahitan atasnya,1
20,Hasby,ejek,1
21,M***a,saya tidak menerima paket pesanan saya,1
22,Julay,"berbulu, gabisa di refund..",1
23,Kenslindo,Robek gini,1
24,Deni,"pesen black malah dikirim navy, padahal udah diingetin dah dibilang kalo gada gausah dikirim uang dibalikin aja ehh masih aja dikirim. tokonya ngga amanah",1
25,o***a,Kecewa..,1
26,Sandi,Pembelian pertama salah size d retur d krm brg size yg sm.bilang admin mau hubungi sampai skg tdk ad yg hubngin.pertama x beli dan terakhir beli d sini….,1
27,F***i,kegedean,1
28,M***d,"Maaf di revisi, kecewa sama barangnya. udah beli kedua kali, pertama M bajunya mengecil jadi kaya size S, akhirnya ikutin saran di deskripsi beli lg 1 tingkat size L, eh... ",1
29,Muhammad,B,1
30,Raja,"kecewaa barang riject, lengan panjang sebelah, sebelah kanan baju bolong dikit",1
31,A***i,"bagian kerah sobek,",1
32,F***n,jahitannya kacau banget,1
33,Naufal,"bahan kurang bagus, begitu di cuci bahan langsung mengecil (mengkerut)",1
34,niko,prusahaan sekelas erigo menjual produk yg gak layak jual. sangat kecewa setelah sekian lama jdi langganan. masak kancing copot dan jahitan gak rapih di kirim ke pembeli.,1
35,C***o,,1
36,O***a,,1
37,Paulus,,1
38,R***n,,1
39,Y***n,,1
40,Wildan,,1
41,simada,,1
42,f***a,,1
43,danang,,1
44,DONNY,,1
