nama,komentar
F***i,mantap
Rizky,Overall good
K***s,"Pembelian yang kesekian, produk bagus sesuai dengan gambar dan deskripsi 👍"
H***o,"modelnya keren, pas dibadan, nyaman dipake"
Fadhil,recomendd parah
N***R,"bahan kemeja nya adem, jahitannya rapi"
A***l,"respon cepat, pengiriman cepat, melebihi ekspektasi, ukuran pas, warna sesuai, murah, bahan adem, besok beli lagi di sini, bakal langganan, seneng krn besok mau dipakai... "
PT,"bahannya adem bgt, size pas sesuai.jaitannya bagus"
Chaled,asli cakep!!!
A***n,lumayan lah sesuai dengan harga
M***a,"Bagussssss bgt ini kedua kalinya beli, meski warna yg dipilih gak ada, seller konfirmasi ganti wrn lain. Bahannya adyeeemmmm. Ukuran down size, biasa pake L tapi ini M cu... "
Triwati,udh beli berkali 2 di sini prod ok lbh murah adem bahannya
l***i,Kerenn. Size pas
F***h,"barang sesuai ekspektasi, bahannya jg adem dan lumayan tebel bahannya, gak kaku jg! cakep pokoknya, thanks seller!"
Kenrik,"baru juga kemaren co langsung sampe hari ini emng fast respon juga selernya, bagus belom sempet foto buat lebaran soalnya hahahha"
Ivan,Bagus
rifaldi,"harga terjangkau, barangnya bagus, seller ramah, pengiriman cepat."
Ardian,"mantab sesuai pesanan, ukuran pas, kain adem. jooosss pokoknya. terima kasih"
M***d,"field army zise l, bahan bagus sesuai pesanan, pokoknya.mantullah😚"
Ardiansyah,sy jrg kasih nilai review. ini bagus sih sesuai ekspektasi. worth it
Epri,"nunggu 3 hari berasa lama bgt😂. tapi puas setelah barang sampe, bahannya ternyata lemes bagus. next order lagi😁"
koko,bahan adem nyaman model ok harga sangat terjangkau toko jujur amanah terpercaya Tb 170 Bb 60 pakai size S masih ok
Rief,Bahannya keren pengiriman cepat
p***n,ok
Muhammad,"bahan bagus,cuma sayang ga pake kantong."
z***n,produk ok sesuai dekripsi
Asep,keren
Elsa,Harga muree tp bahan adem puol. luv luv
Husen,nice
Heria,Kemeja nya kereeeeen bangeet. Baru pertama kali beli tapi langsung suka. Warna nya juga kereen sesuai sama gambar. Bakalan beli lagi disini.
R***y,Adem kainnya 👍 bisa repeat order
Herianto,kemejanya bagus banget.. ukuran sesuai
K***i,nyaman dipakai
Galang,bagus
M***i,bagus. sesuai ukuran. udh beli yg ke3x
Andii,Ukuran pas. Nyaman bgt dipake adem. Jahitan juga sangat rapi
W***u,"baguus, bahannya adem, pas bgt dipake yg M ga kekecilan pokoknya cocok"
Ady,ini beli yg ke2 kalinya puas
nuki,"barang diterima sesuai dengan pesanan, sukses selalu"
F***i,mantapp aku sukaa
J***s,"tetep puas good quality dah pokonya, ngga salah si milih kemeja adem dan lembut disini, cuman kepengen juga warna putih gitu, ada kah?"
M***d,keren
andi,ok
r***i,"bahan bagus,adem,tebel juga,mantap terimakasih telah amanah"
Agung,"bagus bahan,model,jaitan lumayan rapi..terima kasih ka."
Irman,"sesuai espektasi,, penjualnya responsif.. makasih"
Triwati,ini pemb ke 3 hrg murah kwalitas ok adem
P***a,"bahannya adem banget, jahitan rapi"
Desi,"Warna & size sesuai, bahan adem"
C***n,👍👍👍👍👍
