,nama,komentar,rating
0,F***i,mantap,5
1,Rizky,Overall good,5
2,K***s,"Pembelian yang kesekian, produk bagus sesuai dengan gambar dan deskripsi 👍",5
3,H***o,"modelnya keren, pas dibadan, nyaman dipake",5
4,Fadhil,recomendd parah,5
5,N***R,"bahan kemeja nya adem, jahitannya rapi",5
6,A***l,"respon cepat, pengiriman cepat, melebihi ekspektasi, ukuran pas, warna sesuai, murah, bahan adem, besok beli lagi di sini, bakal langganan, seneng krn besok mau dipakai... ",5
7,PT,"bahannya adem bgt, size pas sesuai.jaitannya bagus",5
8,Chaled,asli cakep!!!,5
9,A***n,lumayan lah sesuai dengan harga,5
10,M***a,"Bagussssss bgt ini kedua kalinya beli, meski warna yg dipilih gak ada, seller konfirmasi ganti wrn lain. Bahannya adyeeemmmm. Ukuran down size, biasa pake L tapi ini M cu... ",5
11,Triwati,udh beli berkali 2 di sini prod ok lbh murah adem bahannya,5
12,l***i,Kerenn. Size pas,5
13,F***h,"barang sesuai ekspektasi, bahannya jg adem dan lumayan tebel bahannya, gak kaku jg! cakep pokoknya, thanks seller!",5
14,Kenrik,"baru juga kemaren co langsung sampe hari ini emng fast respon juga selernya, bagus belom sempet foto buat lebaran soalnya hahahha",5
15,Ivan,Bagus,5
16,rifaldi,"harga terjangkau, barangnya bagus, seller ramah, pengiriman cepat.",5
17,Ardian,"mantab sesuai pesanan, ukuran pas, kain adem. jooosss pokoknya. terima kasih",5
18,M***d,"field army zise l, bahan bagus sesuai pesanan, pokoknya.mantullah😚",5
19,Ardiansyah,sy jrg kasih nilai review. ini bagus sih sesuai ekspektasi. worth it,5
20,Epri,"nunggu 3 hari berasa lama bgt😂. tapi puas setelah barang sampe, bahannya ternyata lemes bagus. next order lagi😁",5
21,koko,bahan adem nyaman model ok harga sangat terjangkau toko jujur amanah terpercaya Tb 170 Bb 60 pakai size S masih ok,5
22,Rief,Bahannya keren pengiriman cepat,5
23,p***n,ok,5
24,Muhammad,"bahan bagus,cuma sayang ga pake kantong.",5
25,z***n,produk ok sesuai dekripsi,5
26,Asep,keren,5
27,Elsa,Harga muree tp bahan adem puol. luv luv,5
28,Husen,nice,5
29,Heria,Kemeja nya kereeeeen bangeet. Baru pertama kali beli tapi langsung suka. Warna nya juga kereen sesuai sama gambar. Bakalan beli lagi disini.,5
30,R***y,Adem kainnya 👍 bisa repeat order,5
31,Herianto,kemejanya bagus banget.. ukuran sesuai,5
32,K***i,nyaman dipakai,5
33,Galang,bagus,5
34,M***i,bagus. sesuai ukuran. udh beli yg ke3x,5
35,Andii,Ukuran pas. Nyaman bgt dipake adem. Jahitan juga sangat rapi,5
36,W***u,"baguus, bahannya adem, pas bgt dipake yg M ga kekecilan pokoknya cocok",5
37,Ady,ini beli yg ke2 kalinya puas,5
38,nuki,"barang diterima sesuai dengan pesanan, sukses selalu",5
39,F***i,mantapp aku sukaa,5
40,J***s,"tetep puas good quality dah pokonya, ngga salah si milih kemeja adem dan lembut disini, cuman kepengen juga warna putih gitu, ada kah?",5
41,M***d,keren,5
42,andi,ok,5
43,r***i,"bahan bagus,adem,tebel juga,mantap terimakasih telah amanah",5
44,Agung,"bagus bahan,model,jaitan lumayan rapi..terima kasih ka.",5
45,Irman,"sesuai espektasi,, penjualnya responsif.. makasih",5
46,Triwati,ini pemb ke 3 hrg murah kwalitas ok adem,5
47,P***a,"bahannya adem banget, jahitan rapi",5
48,Desi,"Warna & size sesuai, bahan adem",5
49,C***n,👍👍👍👍👍,5
