nama,komentar
Puji,XL diukur tidak sesuai dengan selisi yg di deskripsi
Bambang,"dipake pas sesuai ukuran,, tp kainnya bukan songket sesuai judul,, tp ya sesuai hargalah"
Bajoz,"masih ada benang bekas jaitan yg menumpuk jadi kurang rapi dan di bagian pergelangan tangan harusnya ada 2 kancing biar bisa menyesuaikan pada lingkaran pergelangan tanga... "
Jihad,jaitan di bagian ketiak kurang kuat byk benang sisa stiap jaitan. utk bahas sih oke
Nurdin,pengiriman cepat.
H***s,Teenyata baju nya luntur.sma ada jahitan yg kurang rapi.tp ga pp s buat harga segitu.trmksh
halim,bagus ta.pa lecet.. kain agak tipiss
abdi,bagus tapi kecil ya gak ada yang lebih besar lagikah
AGUS,mantap banget sesuai dengan orderan 👍👍
Andri,"Bahan dan modelnya keren, cuma pas dipake agak kekecilan padahal ukuran XL ya"
Mohamad,barang sesuai pesanan
T***o,Overall kualitas sesuai dng harga 95K. Cuma tipe kainnya sedikit gerah jika dipakai di cuaca panas.
Fauzy,Ukuran nya kekecilan hahah tapi bagus bahannya. For sure I will buy again soon! Thanks
k***a,"bener bener bagus bahannya cuma mungkin ada warna ungu yang masih lumayan strong. cuma karena mungkin pas ngedesain bajunya nggak pake monitor srgb 100% jadinya warnanya... "
Agung,bahan nya adem
Suyitno,good
Rivan,"Mantap, mendarat mulus, kualitas bahan bagus, tapi gak sesuai sama pesanan"
AGUS,terimakasih mantap
Agung,Riject motif luntur
fahry,"bagus, kurang fit aja di bb 56 tb 171"
h***m,bagus
suhendrik,lumayan....
Ramces,ukurannya L kekecilan...
Arifin,ok makasih barang sudah sampai sesuai pesanan 🙏🙏🙏
Ahmad,bahan sesuai harga size cocok pengiriman agak lambat
Abo,"Bagus, cuman ukuran L harusnya panjangnya 72 ini kelebihan jadi 74 jadi rasa XL untuk, variasi batik hitam"
Rio,Batiknya keren. Kainnya adem. sayangnya kekecilan
Muhammad,bagus cuma sayang sedikit kekecilan utk saya.
Adnan,pokoknya barangnya ok pengen belanja lgi
Fathor,Barang sudah sampai thanks
Fajar,Kainnya adem. Nyaman dipakai 👍. Packaging aman 🙏.
d***s,Batiknya keren.
n***o,.kemasan udah bolong dulu an
Samsul,"Ukuran XL dan L atak beda jauh cenderung sama,,sayang nya motif yg di inginin gak ada"
Lukman,Kainnya adem. Batiknya keren. Nyaman dipakai Tapi Salah Beli Ukuran Harusnya Ukuran M Malah Beli Ukuran L
Daniel,Nyaman dipakai 👍.
azis,Batiknya keren
Joni,Motif batiknya ciamik.
Pangiutan,barangnya sesuai dengan yg saya mau👍
andipoetra,Kainnya adem.
Ahmad,Batiknya keren.
Edo,Motif batiknya ciamik.
Wowo,bagus
R***s,"Barang sesuai pesanan, Batiknya keren. Motif batiknya ciamik. Kainnya adem. Pas ukurannya. Nyaman dipakai 👍"
a***n,furingnya kemana ya? untung bahan luarnya enak 😅
Dinarni,"Bahan mantap, kualitas oke, ukuran pas pokoknya sesuai ekspektasi. kalo tambahin ukuran big size min! overall oke sih."
Anwar,ok
Darmin,mntp
Rony,"sebenernya barangnya bagus, sayang sekali ada cacat bahan, jdnya kurang sempurna"
Rony,
