,nama,komentar,rating,kelas
0,Arif,Mantap...,5,Sangat-baik
1,Hariman,recomended,5,Sangat-baik
2,Arif,Alhamdulillah... Cepat sampainya dan mantap,5,Sangat-baik
3,R***l,mantap,5,Sangat-baik
4,Abdurochman,terima kasih sudah megirimkan pesanan sesuai jadwal & telah diterima dengan baik.,5,Sangat-baik
5,Kresna,Barang diterima dalam kondisi baik dan sesuai pesanan,5,Sangat-baik
6,h***n,"paket sudah diterima, bahannya bagus cuma lengan bajunya agak sempit padahal ukuran XL.",5,Sangat-baik
7,Syahrul,mantul,5,Sangat-baik
8,R***t,bahan lumayan bagus adem..cuma request warna gak sesuai foto..yg satunya mmg diganti tetapi yg black diamond ternyata warnanya ada ungunya bukan hitam semua,5,Sangat-baik
9,Diana,Bagus,5,Sangat-baik
10,F***q,"barang bagus, jos",5,Sangat-baik
11,Bane,Batiknya bagus,5,Sangat-baik
12,ZUL,"model keren, ukuran pas, bahan bagus",5,Sangat-baik
13,Sarozi,mantap pas sesuai gambar,5,Sangat-baik
14,siti,sesuai gambar,5,Sangat-baik
15,sam,mantap,5,Sangat-baik
16,Kasih,sudah beli 3 kali Alhamdulillah.. ok ngga ada masalah.. semoga awet,5,Sangat-baik
17,RASIMAN,mantap terima kasih,5,Sangat-baik
18,Ahmad,lumayan buat lebaran,5,Sangat-baik
19,Yudi,sesuai harapan,5,Sangat-baik
20,Romli,bagus.. joss lah,5,Sangat-baik
21,alex,Modelnya pas di badan dan bahan stretch.....kerrennnn,5,Sangat-baik
22,Drafter,bagus,5,Sangat-baik
23,Richard,TOP BGT,5,Sangat-baik
24,tommy,bagus. puas. saya mau pesan lagi,5,Sangat-baik
25,Andik,barang bagus,5,Sangat-baik
26,Yudi,"Bahannya bagus, adem dan terasa melar. Foto dan aslinya sesuai ekspektasi. Batiknya kereen ditambah lagi dong motifnya.",5,Sangat-baik
27,S***u,recommended mantap bgt dah 👍🏿👍🏿👍🏿,5,Sangat-baik
28,Shovian,sip,5,Sangat-baik
29,Muhammad,puas dngan brang dan kualitas'y sngat cocok dan bagusss 👍👍👍👍♥️♥️♥️♥️,5,Sangat-baik
30,Arie,Mantap 👍,5,Sangat-baik
31,susilo,"paket sudah sampai,mantappp",5,Sangat-baik
32,MOCH,oke barangnya bagus sesuai deskripsi,5,Sangat-baik
33,Muslim,"ukuran pas,barang bagus",5,Sangat-baik
34,supriyatna,"barang jahitan rapi,saiz sesuai & puas banget",5,Sangat-baik
35,gatot,bajunya bagus + ukuran sesuai,5,Sangat-baik
36,saelan,good,5,Sangat-baik
37,Garvin,Mantapppp..... Pembelian ke 2,5,Sangat-baik
38,A***s,👍🏻👍🏻,5,Sangat-baik
39,Aben,ok banget pengirimannya juga cepat👍,5,Sangat-baik
40,F***l,keren,5,Sangat-baik
41,wahyudi,Mantappp.... cucok boooo....,5,Sangat-baik
