,nama,komentar,rating
0,Arif,Mantap...,5
1,Hariman,recomended,5
2,Arif,Alhamdulillah... Cepat sampainya dan mantap,5
3,R***l,mantap,5
4,Abdurochman,terima kasih sudah megirimkan pesanan sesuai jadwal & telah diterima dengan baik.,5
5,Kresna,Barang diterima dalam kondisi baik dan sesuai pesanan,5
6,h***n,"paket sudah diterima, bahannya bagus cuma lengan bajunya agak sempit padahal ukuran XL.",5
7,Syahrul,mantul,5
8,R***t,bahan lumayan bagus adem..cuma request warna gak sesuai foto..yg satunya mmg diganti tetapi yg black diamond ternyata warnanya ada ungunya bukan hitam semua,5
9,Diana,Bagus,5
10,F***q,"barang bagus, jos",5
11,Bane,Batiknya bagus,5
12,ZUL,"model keren, ukuran pas, bahan bagus",5
13,Sarozi,mantap pas sesuai gambar,5
14,siti,sesuai gambar,5
15,sam,mantap,5
16,Kasih,sudah beli 3 kali Alhamdulillah.. ok ngga ada masalah.. semoga awet,5
17,RASIMAN,mantap terima kasih,5
18,Ahmad,lumayan buat lebaran,5
19,Yudi,sesuai harapan,5
20,Romli,bagus.. joss lah,5
21,alex,Modelnya pas di badan dan bahan stretch.....kerrennnn,5
22,Drafter,bagus,5
23,Richard,TOP BGT,5
24,tommy,bagus. puas. saya mau pesan lagi,5
25,Andik,barang bagus,5
26,Yudi,"Bahannya bagus, adem dan terasa melar. Foto dan aslinya sesuai ekspektasi. Batiknya kereen ditambah lagi dong motifnya.",5
27,S***u,recommended mantap bgt dah 👍🏿👍🏿👍🏿,5
28,Shovian,sip,5
29,Muhammad,puas dngan brang dan kualitas'y sngat cocok dan bagusss 👍👍👍👍♥️♥️♥️♥️,5
30,Arie,Mantap 👍,5
31,susilo,"paket sudah sampai,mantappp",5
32,MOCH,oke barangnya bagus sesuai deskripsi,5
33,Muslim,"ukuran pas,barang bagus",5
34,supriyatna,"barang jahitan rapi,saiz sesuai & puas banget",5
35,gatot,bajunya bagus + ukuran sesuai,5
36,saelan,good,5
37,Garvin,Mantapppp..... Pembelian ke 2,5
38,A***s,👍🏻👍🏻,5
39,Aben,ok banget pengirimannya juga cepat👍,5
40,F***l,keren,5
41,wahyudi,Mantappp.... cucok boooo....,5
42,funny,"mksh seller,baju songket Nya bagus, bahannya adem dan melar,semoga makin sukses tokonya dan amanah mksh untuk kurir Nya ramah mksh utk toped,semakin jaya selalu dan terpe... ",5
43,Aben,Mantap,5
44,Ahmad,good,5
45,a***p,"modelnya keren, bahannya nyaman, jempol pokoknya",5
46,Muhammad,bagus,5
47,R***y,mantap,5
48,f***o,,5
49,M***M,,5
