,nama,rating,komentar
0,Jeffreyaldy,5,Nyaman model bagus jahitan rapi ukuran pas
1,i***n,5,"Total udah punya 10, beli 3 bulan sekali 🤣 bahan enak soalnya"
2,D***n,5,"ukuran pas, bahan jatuh, masih belum dipakai, tapi cocok"
3,Y***r,5,mantapppp
4,A***s,5,👍
5,deas,5,bagian kerah nyetrikanya kurang rapi
6,M***d,5,Mantap
7,Jerremy,5,Oke
8,Bayu,5,barang sesuai dengan gambar yang dideskripsikan😘
9,Muhammad,5,"Bahannya bagus, nyaman di pake ga bikin gerah. tp pengirimannya lama maklum mau lebaran orderan membludak. Thanks Erigo"
10,M***n,5,Alhamdulillah barang sesuai deskripsi
11,Asan,5,ok
12,Nur,5,overall bagus. lebih baik pilih satu soze keatas. rada susah disetrika.
13,B***s,5,"bagus bahannya, adem, kerenn"
14,m***d,5,bahannya enak dan gak gerah
15,Fathur,5,Thebestt lah pokoknyaa
16,Achmad,5,mantapp barang bagus ukuran sesuai
17,Aldiansyah,5,Casual bgt guah
18,Doni,5,overall bagus
19,Ardi,5,Mantap udah order ke dua tapi kaya beda ukuran wkwkwk yang penting cukup lah
20,Muhammad,5,#Lebaran Pake Erigo
21,A***a,5,Mantab brg nya
22,Satria,5,"Proses order agak lama, produk sesuai deskripsi, kualitas cukup bagus"
23,P***U,5,Baguusss👍
24,A***i,5,okeee
25,a***y,5,"Cool, bahan lembut dan halus, enak dipakai tidur"
26,lia,5,"bahannya adem, pas ukurannya. cuman lama sampe nya"
27,R***i,5,"produknya bagus,tapi pengirinannya lama. seller slow respon"
28,D***l,5,selalu cocok
29,Ratnawati,5,Keren kemejanya min. Uk pas bahan enak gak kaku
30,Viki,5,"Model oke, size pas, dan bahan ny masuk kategori comfy."
31,catur,5,keren dan ga pernah gagal beli ERIGO
32,W***m,5,"bahanny enak, bgus, thanks"
33,Galang,5,"Adem, simple, nyaman"
34,Suhartati,5,bahan bagus
35,Nadia,5,maaf ga sempet foto produknya. udah pembelian yg ke sekian kali untuk kemeja ini. dabest lah !!
36,D***u,5,oke
37,Muhamad,5,bahan adem enak
38,I***r,5,"barang sesuai deskripsi, bahan adem"
39,Ronaldy,5,biarkan bintang yg berbicara
40,Mulia,5,"Bahan super duper adem, bahannya enak sekali"
41,S***n,5,"ukuran pas, oke..,….."
42,W***h,5,produk okeeee
43,Feldy,5,bahan nyaman ukuran pas
44,lia,5,"Bahannya bagus, enak dipake"
45,Oleh,5,bagus nyaman di pake
46,D***n,5,Good
47,Amru,5,bagus. saya suka bahannya.
48,Lukman,5,
49,gurimal,5,
50,Zainal,4,bagus
51,Muhammadbintangn,4,Slow bgt resp nya
52,YN,4,kainya lemes jatuh. sesuai dengan harga
53,Renaldo,4,Pengiriman lama
54,Bram,4,ukuran pas sih longgar. tapi pendek banget jadi keliatan jangkis
55,darajat,4,"kualitasnya bagus, pengiriman lambat"
56,Fandi,4,"bahan bagus, tp hampir gak jd pake u acara, seller respondnya ketika ada masalah pengiriman kurang friendly"
57,Muhamad,4,"Pengiriman lama, barang kualitas bagus, stylish"
58,Andi,4,Keren
59,muhamad,4,"bahannya bagus, tapi jahitannya kurang rapih pada bagian lengan sebelah kanan tidak simetris dengan yg kiri panjang sebelah. pengiriman lemooott"
60,R***a,4,"untuk barang oke"" saja dan aman kualitas oke untuk pengirimanya lumayan lama"
61,cheka,4,pengiriman lama
62,Mahatma,4,"bahannya keren, enak banget dipake nyaman sama badan. Pakai ukuran L pun sangat pas. namun dari sisi pengiriman masih banyak haeus dibenahi, hampir 3 hari barang ketahan... "
63,kukuh,4,bahan adem
64,Ferdinando,4,"Kecewa sama kurirnya, barang saya tidak sampai"""
65,ikasurya,4,ngirimnya lamaaaaaaa
66,F***i,4,bahannya adem tapi gampang kusut
67,Rick,4,Kwalitasnya lebih bagus. Yg pengirimanya yg telat. Prosesnya pelan pelan
68,A***l,4,mantaf sesuai bahan dingin lumayan tebal
69,Y***o,4,Bagus
70,A***s,4,"barangnya keren, tp nyampenya lebih lama dari waktu estimasi"
71,Del,4,Cukup puas. Quality control harus lebih diperhatikan. Masih banyak benang sisa jahitan berlebihan di setiap sisi. Bikin jahitan kurang rapih. Tapi bahan sudah bagus.
72,Dicky,4,"tarlalu besar keknya, salah size"
73,Nilna,4,pengemasan lama poll beli tgl 9 dikirim tgl 15
74,Muh,4,panjang ny beda sedikit sama yg warna laen
75,Renald,4,"Bahannya sih enak cuma ya Jahitannya gk rapih ,keliatan soalnya …."
76,F***h,4,"Kualitas oke, barang sesuai pesanan, cuma packing kurang, packing sobek seperti dibuka oleh pihak jasa kirim Sicepat. Mohon diperbaiki agar kejadian tidak terulang kembal... "
77,A***i,4,"Barangnya bagus dan baik, hanya saja waktu pengiriman yang ditunda membuat lama"
78,daydreamer,4,pengiriman nya lama
79,Ahmad,4,"barang bagus, pengiriman lama sekali, keterangan gagal pick up barang belum siap terus."
80,shandyutama,4,"Pengirimanya gagal terus, tapi akhirnya sampai."
81,w***n,4,bahanya ternyata so so lah
82,S***n,4,Jahitannya rapi Nyaman dipakai
83,R***o,4,jahatahanbagahsjsjs susisaoqkjsysybjwus. sususu
84,Sumando,4,oke
85,A***R,4,asa kegedean
86,a***d,4,Bahannya ga adem2 bgt ternyata
87,Adhi,4,"bintang 4 dulu saya kasi karena kurang lengkap nggak ada sakunya, fokus saya ke bahan rayon jadi nggak perhatikan sakunya setelah dibuka ee... ternyata nggak ada sakunya,... "
88,K***y,4,"tampak jauh perjalanan kemeja-kemeja ini.. agak lama proses dan kirim barangnya,, enak beli langsung di toko/bazarnya erigo daripada online,, lama 😅"
89,Idabagus,4,kebesaran
90,R***s,4,good
91,I***a,4,"Barang sesuai pesanan, hanya saya kurang suka untuk desain bagian lengan nya"
92,rizal,4,as I expected
93,J***l,4,"kalau soal kualitas Erigo jangan di tanya,, bagus.... Tapi Tolong Ditingkatkan lagi pengiriman nya sesuai pesanan ya..."
94,G***g,4,Bahannya gampang lecek.. Mungkin karena full catton
95,M***d,4,sobek gan.... gimana yak ini realitanya maap bang erigo yak klo org jadi mikir2 lg klo beli haha
96,NUGROHO,4,"Panjangnya beda kayak yang size s sebelumnya, saya beli yang navy pas, beli yang item lebih panjang padahal sama” size S"
97,M***d,4,"bahan bagus tidak tipis, adem nyaman, ukuran pas sayangnya pengiriman molor"
98,Adhima,4,
99,R***o,4,
100,INSANKMIL,3,"agak sedikit kecewa dengan erigo kali ini karena slow respon , dan tidak ada balasan dari admin nya , meskipun barang nya sampai namun telat"
101,T***i,3,"sudah mendarat tetapi sayangnya respon dalam memproses pesanan lama banget untuk sampai ke ekspedisi, mohon untuk ditingkatkan lagi."
102,eric,3,"Pesanan semua sesuai size M, tapi ada 1 baju yang ukuran nya kecil sendiri padahal label size nya sama sama M, tapi ukuran nya beda kecil sendiri. Overall udah oke banget... "
103,H***O,3,Beda dengan foto
104,Kristo,3,Size L serasa XL
105,Eka,3,responnya lama
106,Mukhamad,3,ukuran beda dibandingkan dengan size M varian warna lain
107,Fachri,3,pengiriman seminggu lama bgt
108,Ardiansyah,3,pengiriman cukup lama
109,Muhammad,3,saya pesen 27 dengan pengiriman 1 hari sampai tapi baru sampainya tanggal 31 padahal barangnya mau di pake tuker kado karena telat saya jadi harus beli barang lain untuk... 
110,Myhammad,3,"Tebalnya pas, bahannya adem. Tapi ga pernah sama bentukannya tiap kali beli, ada sobek dikit bagian lengan"
111,Christianto,3,"Kualitas sesuai harga, luntur parah ternyata"
112,Pietermanting,3,Biar dikira diskon harga asliny tertera d tag 300 wkwk Tp yaudah lah support brand lokal judulny 🤣
113,Rama,3,Pengirimannya lama banget padahal deket lokasinya. jahitan kurang rapi. bahan adem enak nyaman.
114,E***a,3,U u u u u u u u u u u u u u u u u u u u uk k k k k k kk uuuuran
115,Bayu,3,over price
116,G***g,3,Real pict
117,S***a,3,bahan nya kurang oke
118,K***n,3,menunggu konfirmasi pesanan aja lama
119,J***h,3,Tinggi 182-82 pake size xl kepanjangan coy gile kaya baju ondel ondel
120,M***d,3,Sekarang pengiriman agak lama
121,V***a,3,terpaksa mengganti warna lain karena ternyata Stok nya abis
122,r***a,3,"seller ramah, pengiriman dan update nya sangat mengecewakan sepertinya krn bebas ongkir jd dilama² in lewat 1 dr hari pengiriman dan giliran penambahan wkt pengiriman cep... "
123,bung,3,Cukup baik
124,M***d,3,"Biasa saya pakai XL, Tapi ini XL nya besar banget. jadi harus di kecilkan lagi. ERIGO PELIT STICKER. ORDER 3 PCS BAJU TIDAK DAPAT STICKER."
125,Syaiful,3,Kualitas produk bagus.
126,Franky,3,"jahitannya kurang rapi, lecek dan kusam warnanya"
127,Boby,3,"Nyaman dipakai. tapi jaitannyaohon diperhatikak, ini bahannya lepas"
128,ahmad,3,cuting oke kualitas no
129,Axel,3,Kualitas produk bagus. Nyaman dipakai. Produk sesuai dengan foto.
130,Tri,3,Bahannya adem.
131,k***y,3,"Ngak sesuai ekspektasi, bajunya lebih kecewek cocoonyaaa …"
132,F***z,3,Produk bagus tapi pengirimannya lama . Tertunda terus
