nama,komentar
Prabowo,Barang sudah sampai sesuai deskripsi
A***p,mantapp
MHM,Keren dan bahan sangat nyaman walau tidak terlalu tipis. terima kasih
h***y,nais. sesuai harga
Yunus,Baju bagus bagus... pengiriman cepat.... layanan bagus
Kal,"Sudah mendarat dgn selamat kak,modelnya keren,bahan juga adem Pelayan ramah dan harga murah kualitas barang bukan berarti murahan,tengkiu kak,semoga makin lancar jualanny... "
Rido,nice..
ari,"keren , recomend bgt"
Pendi,barang sudah sampai sesuai pesanan mantapp👍👍👍👍👍👍👍👍puass belanja disini
Lando,bagus..👍
Maria,bahan bagus. cucuok sekali. suka
Mukhamad,jsa;l;dka;sjdjasdlansldjas
Turanto,terima kasih barang sesuai order kualitas terbaik sangat nyaman dipakai joos 🙏
Jekki,sesuai harga
Jemmy,mantap
A***n,mantab cutting bagus bahan adem ..cakep banget
Wawanmds,"Respon seller cepat,, Pengiriman cepat, trims utk kurir dan Toped yg selalu amanah"
Dodik,keren
Jaya,Kemeja sdh diterima dengan baik dan sesuai dengan pesanan kita. t kasih
alex,"barangnya bagus, ukurannya sesuai, mantap. tp agak tipis tp enggak tipis2 banget, puas dengan barangnya"
joko,pengiriman cepat bahan juga adem..
Allen,"Kan bajunya bagus, kan bener bintang 5"
kinanti,bagus kemejanya
moch,bahannya tipis menerawang.
Fariz,bahan berkualitas dan nyaman di pakai.
Ceppy,"barang ada masalah dikit, seller cepat tanggap dan sdh diselesaikan dg baik. good job"
Dini,"menurut aq agak beda sm foto yg dpjg dr bhn sm bwh bajuy g ada mereky seperti dfoto ngasih keterangan jg slh d deskripsi size XL lb 56 tp ini cm 54cm utg udh baca dr ula... "
Hery,mantullllllll bajunya
M***i,"modelnya bagus,jahitannya rapih,☺️Bahannya sesuai harga,.sukakkk😇,..maaf ya fotonya gk sesuai barangya dicuci 🙏"
Faisal,"modelnya keress , nyaman di pakai , sellernya pun ramahh thxx..."
E***o,bahannya bagus. pengiriman termasuk cepat. dan size ukuran pas
B***y,bagus
Anwar,"model keren, enak di pakai bahan adem terima kasih barang sudah diterima sesuai deskripsi 🌟🌟🌟🌟🌟"
yudi,Ok barang bagus fast R 👍🏻
Indra,brg bagus & berkualitas trus bahan halus
M,mantap
Candra,"suka dgn warnanya, maroon"
Adi,"alhamdulillah dah smpai brgny, bahanny bagus banget, model ok punya, pengiriman jg cepat sellerny komunikatif, tp sayang bajunya kekecilan buat paksu, jd buat anakku yg b... "
Erik,sipppp
Tonny,"Puas, bahannya nyaman, jahitan halus, model bagus, ukuran sesuai, pesanan cepat sampai. Tksh pelapak nanti order lagi."
sandhi,bagus
khotib,keren.. pengiriman cepat dan barang oke.
imam,kami sangat puas dg produknya
Gisi,Jahitan bagus sekali. Kain juga sangat bagus. Ngga nyangka harga segini tapi kualitas mantap. Saran: tolong siapkan size S dong please. Terimakasih
W***a,Terimakasih kemejanya mayan bagus dan keren
imam,barangnya bagus bingit
Hendri,"Pas, cocok bagus"
Rizka,sip
Y***e,barang bagus sesuai dengan yang ditawarkan. pelayanan bagus juga. terima kasih
S***o,
