,nama,komentar,rating,kelas
0,Prabowo,Barang sudah sampai sesuai deskripsi,5,Sangat-baik
1,A***p,mantapp,5,Sangat-baik
2,MHM,Keren dan bahan sangat nyaman walau tidak terlalu tipis. terima kasih,5,Sangat-baik
3,h***y,nais. sesuai harga,5,Sangat-baik
4,Yunus,Baju bagus bagus... pengiriman cepat.... layanan bagus,5,Sangat-baik
5,Kal,"Sudah mendarat dgn selamat kak,modelnya keren,bahan juga adem Pelayan ramah dan harga murah kualitas barang bukan berarti murahan,tengkiu kak,semoga makin lancar jualanny... ",5,Sangat-baik
6,Rido,nice..,5,Sangat-baik
7,ari,"keren , recomend bgt",5,Sangat-baik
8,Pendi,barang sudah sampai sesuai pesanan mantapp👍👍👍👍👍👍👍👍puass belanja disini,5,Sangat-baik
9,Lando,bagus..👍,5,Sangat-baik
10,Maria,bahan bagus. cucuok sekali. suka,5,Sangat-baik
11,Mukhamad,jsa;l;dka;sjdjasdlansldjas,5,Sangat-baik
12,Turanto,terima kasih barang sesuai order kualitas terbaik sangat nyaman dipakai joos 🙏,5,Sangat-baik
13,Jekki,sesuai harga,5,Sangat-baik
14,Jemmy,mantap,5,Sangat-baik
15,A***n,mantab cutting bagus bahan adem ..cakep banget,5,Sangat-baik
16,Wawanmds,"Respon seller cepat,, Pengiriman cepat, trims utk kurir dan Toped yg selalu amanah",5,Sangat-baik
17,Dodik,keren,5,Sangat-baik
18,Jaya,Kemeja sdh diterima dengan baik dan sesuai dengan pesanan kita. t kasih,5,Sangat-baik
19,alex,"barangnya bagus, ukurannya sesuai, mantap. tp agak tipis tp enggak tipis2 banget, puas dengan barangnya",5,Sangat-baik
20,joko,pengiriman cepat bahan juga adem..,5,Sangat-baik
21,Allen,"Kan bajunya bagus, kan bener bintang 5",5,Sangat-baik
22,kinanti,bagus kemejanya,5,Sangat-baik
23,moch,bahannya tipis menerawang.,5,Sangat-baik
24,Fariz,bahan berkualitas dan nyaman di pakai.,5,Sangat-baik
25,Ceppy,"barang ada masalah dikit, seller cepat tanggap dan sdh diselesaikan dg baik. good job",5,Sangat-baik
26,Dini,menurut aq agak beda sm foto yg dpjg dr bhn sm bwh bajuy g ada mereky seperti dfoto ngasih keterangan jg slh d deskripsi size XL lb 56 tp ini cm 54cm utg udh baca dr ula... ,5,Sangat-baik
27,Hery,mantullllllll bajunya,5,Sangat-baik
28,M***i,"modelnya bagus,jahitannya rapih,☺️Bahannya sesuai harga,.sukakkk😇,..maaf ya fotonya gk sesuai barangya dicuci 🙏",5,Sangat-baik
29,Faisal,"modelnya keress , nyaman di pakai , sellernya pun ramahh thxx...",5,Sangat-baik
30,E***o,bahannya bagus. pengiriman termasuk cepat. dan size ukuran pas,5,Sangat-baik
31,B***y,bagus,5,Sangat-baik
