,nama,komentar,rating
0,Prabowo,Barang sudah sampai sesuai deskripsi,5
1,A***p,mantapp,5
2,MHM,Keren dan bahan sangat nyaman walau tidak terlalu tipis. terima kasih,5
3,h***y,nais. sesuai harga,5
4,Yunus,Baju bagus bagus... pengiriman cepat.... layanan bagus,5
5,Kal,"Sudah mendarat dgn selamat kak,modelnya keren,bahan juga adem Pelayan ramah dan harga murah kualitas barang bukan berarti murahan,tengkiu kak,semoga makin lancar jualanny... ",5
6,Rido,nice..,5
7,ari,"keren , recomend bgt",5
8,Pendi,barang sudah sampai sesuai pesanan mantapp👍👍👍👍👍👍👍👍puass belanja disini,5
9,Lando,bagus..👍,5
10,Maria,bahan bagus. cucuok sekali. suka,5
11,Mukhamad,jsa;l;dka;sjdjasdlansldjas,5
12,Turanto,terima kasih barang sesuai order kualitas terbaik sangat nyaman dipakai joos 🙏,5
13,Jekki,sesuai harga,5
14,Jemmy,mantap,5
15,A***n,mantab cutting bagus bahan adem ..cakep banget,5
16,Wawanmds,"Respon seller cepat,, Pengiriman cepat, trims utk kurir dan Toped yg selalu amanah",5
17,Dodik,keren,5
18,Jaya,Kemeja sdh diterima dengan baik dan sesuai dengan pesanan kita. t kasih,5
19,alex,"barangnya bagus, ukurannya sesuai, mantap. tp agak tipis tp enggak tipis2 banget, puas dengan barangnya",5
20,joko,pengiriman cepat bahan juga adem..,5
21,Allen,"Kan bajunya bagus, kan bener bintang 5",5
22,kinanti,bagus kemejanya,5
23,moch,bahannya tipis menerawang.,5
24,Fariz,bahan berkualitas dan nyaman di pakai.,5
25,Ceppy,"barang ada masalah dikit, seller cepat tanggap dan sdh diselesaikan dg baik. good job",5
26,Dini,menurut aq agak beda sm foto yg dpjg dr bhn sm bwh bajuy g ada mereky seperti dfoto ngasih keterangan jg slh d deskripsi size XL lb 56 tp ini cm 54cm utg udh baca dr ula... ,5
27,Hery,mantullllllll bajunya,5
28,M***i,"modelnya bagus,jahitannya rapih,☺️Bahannya sesuai harga,.sukakkk😇,..maaf ya fotonya gk sesuai barangya dicuci 🙏",5
29,Faisal,"modelnya keress , nyaman di pakai , sellernya pun ramahh thxx...",5
30,E***o,bahannya bagus. pengiriman termasuk cepat. dan size ukuran pas,5
31,B***y,bagus,5
32,Anwar,"model keren, enak di pakai bahan adem terima kasih barang sudah diterima sesuai deskripsi 🌟🌟🌟🌟🌟",5
33,yudi,Ok barang bagus fast R 👍🏻,5
34,Indra,brg bagus & berkualitas trus bahan halus,5
35,M,mantap,5
36,Candra,"suka dgn warnanya, maroon",5
37,Adi,"alhamdulillah dah smpai brgny, bahanny bagus banget, model ok punya, pengiriman jg cepat sellerny komunikatif, tp sayang bajunya kekecilan buat paksu, jd buat anakku yg b... ",5
38,Erik,sipppp,5
39,Tonny,"Puas, bahannya nyaman, jahitan halus, model bagus, ukuran sesuai, pesanan cepat sampai. Tksh pelapak nanti order lagi.",5
40,sandhi,bagus,5
41,khotib,keren.. pengiriman cepat dan barang oke.,5
42,imam,kami sangat puas dg produknya,5
43,Gisi,Jahitan bagus sekali. Kain juga sangat bagus. Ngga nyangka harga segini tapi kualitas mantap. Saran: tolong siapkan size S dong please. Terimakasih,5
44,W***a,Terimakasih kemejanya mayan bagus dan keren,5
45,imam,barangnya bagus bingit,5
46,Hendri,"Pas, cocok bagus",5
47,Rizka,sip,5
48,Y***e,barang bagus sesuai dengan yang ditawarkan. pelayanan bagus juga. terima kasih,5
49,S***o,,5
