,komentar,rating,label
0,"seperti biasa, mantapsss",5,positif
1,keren,5,positif
2,Barang ok seeuai peeanan,5,positif
3,ok.,5,positif
4,Modelnya keren,5,positif
5,real picture...pas di badan.. recommended bgt 👍,5,positif
6,Pertama kali cobain kaos erigo. Baju sesuai dengan yang ada di foto. Bahan bagus banget! sablonnya juga bagus. pokoknya mantap 👌🏼,5,positif
7,Oke... Sudah order 2x disini,5,positif
8,bagus kerenn,5,positif
9,Bahannya lembut dan ga panas. Suka banget,5,positif
10,Diterima dengan baik,5,positif
11,cocok,5,positif
12,"Bahan adem, paling suka beli kaos erigo,,enak dipakai soalnya,,Beli pas flash sale,,👍",5,positif
13,"bajunya bagus,bahannya gk tipis,nyaman waktu dipakek,pokonya gk rugi kalo beli",5,positif
14,bagus cocok buat kembaran,5,positif
15,"keren,, sdh bbrp kali belanja.. mohon di tingkatkan diskon nya",5,positif
16,"Baju oke, langsung masuk lemari..",5,positif
17,👍👍,5,positif
18,bahan nya adem sablonan nya juga oke,5,positif
19,"model nya keren, bahan bagus, kualitas terbaikk, Erigo keren",5,positif
20,bahan dan jahitan baguss... semoga sablon awet..,5,positif
21,Bahan adem .. Tks ...,5,positif
22,"ukuran baju pas sekali, jahitan bagus. the best 👍👍 pengiriman agak lama tapi barangnya selamat sampai tujuam",5,positif
23,"Modelnya bagus. Bahannya adem, pengiriman cepat",5,positif
24,"Terima kasih, barang sudah sampai dan diterima dengan baik. Seller fast response, recommended seller, terima kasih",5,positif
25,"seperti biasa erigo gk prnah ngecewain soal kualitas produk nya, dn bnr"" memuaskan 🔥👍 cuma saya sedikit kecewa dngn pengiriman kurir yg bgitu lama pdhal sudah sampa... ",5,positif
26,"Bahan nya adem, mantap lah",5,positif
27,baju nya benar2 bagusssssss,5,positif
28,"pengiriman cepat, barang ok",5,positif
29,"modelnya bagus banget, btw stikernya lucu",5,positif
30,"bagus, terima kasih",5,positif
31,Kerennnnnn,5,positif
32,Kaos adem mantap sesuai ekspektasi,5,positif
33,barang sudah sampai... terima kasih,5,positif
34,mantap,5,positif
35,bagussss,5,positif
