,komentar,rating,label
0,Nyaman model bagus jahitan rapi ukuran pas,5,positif
1,"Total udah punya 10, beli 3 bulan sekali 🤣 bahan enak soalnya",5,positif
2,"ukuran pas, bahan jatuh, masih belum dipakai, tapi cocok",5,positif
3,mantapppp,5,positif
4,👍,5,positif
5,bagian kerah nyetrikanya kurang rapi,5,positif
6,Mantap,5,positif
7,Oke,5,positif
8,barang sesuai dengan gambar yang dideskripsikan😘,5,positif
9,"Bahannya bagus, nyaman di pake ga bikin gerah. tp pengirimannya lama maklum mau lebaran orderan membludak. Thanks Erigo",5,positif
10,Alhamdulillah barang sesuai deskripsi,5,positif
11,ok,5,positif
12,overall bagus. lebih baik pilih satu soze keatas. rada susah disetrika.,5,positif
13,"bagus bahannya, adem, kerenn",5,positif
14,bahannya enak dan gak gerah,5,positif
15,Thebestt lah pokoknyaa,5,positif
16,mantapp barang bagus ukuran sesuai,5,positif
17,Casual bgt guah,5,positif
18,overall bagus,5,positif
19,Mantap udah order ke dua tapi kaya beda ukuran wkwkwk yang penting cukup lah,5,positif
20,#Lebaran Pake Erigo,5,positif
21,Mantab brg nya,5,positif
22,"Proses order agak lama, produk sesuai deskripsi, kualitas cukup bagus",5,positif
23,Baguusss👍,5,positif
24,okeee,5,positif
25,"Cool, bahan lembut dan halus, enak dipakai tidur",5,positif
26,"bahannya adem, pas ukurannya. cuman lama sampe nya",5,positif
27,"produknya bagus,tapi pengirinannya lama. seller slow respon",5,positif
28,selalu cocok,5,positif
29,Keren kemejanya min. Uk pas bahan enak gak kaku,5,positif
30,"Model oke, size pas, dan bahan ny masuk kategori comfy.",5,positif
31,keren dan ga pernah gagal beli ERIGO,5,positif
32,"bahanny enak, bgus, thanks",5,positif
33,"Adem, simple, nyaman",5,positif
34,bahan bagus,5,positif
35,maaf ga sempet foto produknya. udah pembelian yg ke sekian kali untuk kemeja ini. dabest lah !!,5,positif
36,oke,5,positif
37,bahan adem enak,5,positif
38,"barang sesuai deskripsi, bahan adem",5,positif
39,biarkan bintang yg berbicara,5,positif
40,"Bahan super duper adem, bahannya enak sekali",5,positif
41,"ukuran pas, oke..,…..",5,positif
42,produk okeeee,5,positif
43,bahan nyaman ukuran pas,5,positif
44,"Bahannya bagus, enak dipake",5,positif
